,ms,reuser_count,reusers
15,25,8,"['0660IbnCadim.BughyatTalab', '0597IbnJawzi.Muntazam', '0654SibtIbnJawzi.MiratZaman', '0845Maqrizi.KhabarCanBashar', '0400IbnTahirMaqdisi.BadWaTarikh', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0300IbnRusta.AclaqNafisa']"
16,26,1,['0845Maqrizi.KhabarCanBashar']
17,27,2,"['0845Maqrizi.KhabarCanBashar', '0360HamzaIsfahani.TarikhSini']"
18,28,1,['0375AnonymousTranslator.TarikhCalamUrusiyus']
19,31,5,"['0626YaqutHamawi.MucjamBuldan', '0845Maqrizi.KhabarCanBashar', '0739SafiDinHanbali.Marasid', '0930IbnIyas.NuzhatUmam', '0911Suyuti.AsmaBiqac']"
20,32,2,"['0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
21,33,2,"['0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
22,34,3,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
23,37,5,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
24,43,3,"['0821Qalqashandi.SubhAcsha', '0911Suyuti.HusnMuhadara', '0257IbnCabdHakam.FutuhMisr']"
25,52,9,"['0845Maqrizi.ImtacAsmac', '0807NurDinHaythami.MajmacZawaid', '0360Tabarani.MucjamKabir', '0942IbnYusufShami.SubulHuda', '0736IbnDawadari.KanzDurar', '0460ShaykhTusi.Amali', '0911Suyuti.HusnMuhadara', '0783IbnHadida.MisbahMudi', '0257IbnCabdHakam.FutuhMisr']"
26,57,2,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam']"
27,70,7,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
28,71,7,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600KatibMarrakushi.Istibsar', '0600PseudoMascudi.AkhbarZaman']"
29,73,4,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
30,74,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
31,75,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
32,76,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
33,77,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
34,78,6,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
35,79,5,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
36,80,3,"['0733Nuwayri.NihayatArab', '0487AbuCubaydBakri.MasalikWaMamalik', '0930IbnIyas.NuzhatUmam']"
37,82,4,"['0385IbnNadim.Fihrist', '0930IbnIyas.NuzhatUmam', '0300IbnRusta.AclaqNafisa', '0440AbuRayhanBiruni.AtharBaqiya']"
38,93,10,"['0571IbnCasakir.TarikhDimashq', '0711IbnManzurIfriqi.MukhtasarTarikhDimashq', '0671AbuCabdAllahQurtubi.JamicLiAhkamQuran', '0745AbuHayyanGharnati.TafsirBahrMuhit', '0468IbnAhmadWahidiNaysaburi.WasitFiTafsir', '0654SibtIbnJawzi.MiratZaman', '0333IbnMarwanDinawari.MujalasaWaJawahirCilm', '0338AbuJacfarNahhas.IcrabQuran', '0930IbnIyas.NuzhatUmam', '0716NajmDinTufi.Isharat']"
39,95,0,[]
40,96,0,[]
41,97,0,[]
42,98,0,[]
43,99,1,['0930IbnIyas.NuzhatUmam']
44,101,0,[]
45,102,0,[]
46,103,0,[]
47,104,0,[]
48,105,0,[]
49,115,1,['0930IbnIyas.NuzhatUmam']
50,116,5,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
51,121,1,['0930IbnIyas.NuzhatUmam']
52,122,1,['0930IbnIyas.NuzhatUmam']
53,123,1,['0930IbnIyas.NuzhatUmam']
54,124,1,['0930IbnIyas.NuzhatUmam']
55,125,1,['0930IbnIyas.NuzhatUmam']
56,126,1,['0930IbnIyas.NuzhatUmam']
57,127,1,['0930IbnIyas.NuzhatUmam']
58,128,1,['0930IbnIyas.NuzhatUmam']
59,139,3,"['0646IbnBaytarAndalusi.JamicLiMufradat', '0428IbnSina.QanunFiTibb', '0930IbnIyas.NuzhatUmam']"
60,140,5,"['0646IbnBaytarAndalusi.JamicLiMufradat', '0428IbnSina.QanunFiTibb', '0696AshrafIbnYusufTurkumani.Muctamid', '0750IbnQasimKilani.SharhFusulAbuqrat', '0930IbnIyas.NuzhatUmam']"
61,146,0,[]
62,154,1,['0930IbnIyas.NuzhatUmam']
63,155,2,"['0930IbnIyas.NuzhatUmam', '0440AbuRayhanBiruni.AtharBaqiya']"
64,156,1,['0930IbnIyas.NuzhatUmam']
65,162,1,['0930IbnIyas.NuzhatUmam']
66,171,3,"['0850ShihabDinIbshihi.Mustatraf', '0736IbnDawadari.KanzDurar', '0520IbnWalidTurtushi.SirajMuluk']"
67,181,1,['0350MuhammadKindi.WulatMisr']
68,186,1,['0930IbnIyas.NuzhatUmam']
69,187,0,[]
70,188,4,"['0677IbnMuyassar.AkhbarMisr', '0845Maqrizi.Muqaffa', '0845Maqrizi.MusawwadatMawaciz', '0845Maqrizi.ItticazHunafa']"
71,191,2,"['0588IbnMamun.AkhbarMisr', '0845Maqrizi.ItticazHunafa']"
72,192,1,['0588IbnMamun.AkhbarMisr']
73,193,1,['0588IbnMamun.AkhbarMisr']
74,196,1,['0845Maqrizi.ItticazHunafa']
75,201,1,['0845Maqrizi.Suluk']
76,202,1,['0845Maqrizi.Suluk']
77,203,1,['0845Maqrizi.Suluk']
78,204,0,[]
79,205,0,[]
80,206,0,[]
81,207,0,[]
82,208,13,"['0893CamiriHaradi.BahjatMahafil', '0986IbnCaliFattani.MajmacBihar', '0733Nuwayri.NihayatArab', '0821Qalqashandi.SubhAcsha', '0626YaqutHamawi.MucjamBuldan', '0450AbuHasanMawardi.AhkamSultaniyya', '0676Nawawi.TahdhibAsma', '0458AbuYaclaIbnFarra.AhkamSultaniyya', '0709IbnAbiFathShamsDinBacli.MatlacCalaAbwabMuqnic', '0930IbnIyas.NuzhatUmam', '0367IbnHawqal.SuratArd', '0733IbnJamacaBadrDinHamawi.TahrirAhkam', '0911Suyuti.AsmaBiqac']"
83,211,13,"['0733Nuwayri.NihayatArab', '0630IbnAthirCizzDin.Kamil', '0597IbnJawzi.Muntazam', '0597IbnJawzi.KashfMushkil', '0654SibtIbnJawzi.MiratZaman', '0310Tabari.Tarikh', '0749ZaynDinIbnWardi.Tarikh', '0774IbnKathir.MusnadCumarIbnKhattab', '0597IbnJawzi.ShudhurCuqud', '0732AbuFida.MukhtasarFiAkhbar', '0662HusaynIbnBadrDin.ShifaUwam', '0909IbnMabrid.MahdSawab', '0815MuhibbDinIbnShihna.RawdMunazir']"
84,212,9,"['0733Nuwayri.NihayatArab', '0630IbnAthirCizzDin.Kamil', '0656IbnAbiHadid.SharhNahjBalagha', '0597IbnJawzi.Muntazam', '0597IbnJawzi.KashfMushkil', '0310Tabari.Tarikh', '0774IbnKathir.MusnadCumarIbnKhattab', '0662HusaynIbnBadrDin.ShifaUwam', '0909IbnMabrid.MahdSawab']"
85,213,1,['0310Tabari.Tarikh']
86,215,5,"['0845Maqrizi.Muqaffa', '0874IbnTaghribirdi.NujumZahira', '0930IbnIyas.NuzhatUmam', '0350MuhammadKindi.WulatMisr', '0845Maqrizi.Bayan']"
87,217,0,[]
88,218,0,[]
89,220,11,"['0450AbuHasanMawardi.HawiKabir', '0845Maqrizi.ImtacAsmac', '0620IbnQudamaMaqdisi.Mughni', '0279Baladhuri.FutuhBuldan', '0279Baladhuri.AnsabAshraf', '0502CabdWahidRuyani.BahrMadhhab', '0450AbuHasanMawardi.AhkamSultaniyya', '0251IbnZanjawayh.Amwal', '0224QasimIbnSallam.Amwal', '0458AbuYaclaIbnFarra.AhkamSultaniyya', '0845Maqrizi.DawSari']"
90,222,1,['0930IbnIyas.NuzhatUmam']
91,223,7,"['0450AbuHasanMawardi.HawiKabir', '0821Qalqashandi.SubhAcsha', '0502CabdWahidRuyani.BahrMadhhab', '0450AbuHasanMawardi.AhkamSultaniyya', '0224QasimIbnSallam.Amwal', '0458AbuYaclaIbnFarra.AhkamSultaniyya', '0852IbnHajarCasqalani.JawabJalil']"
92,227,5,"['0597IbnJawzi.Muntazam', '0699IbnCabdMalikMurjani.BahjatNufus', '0930IbnIyas.NuzhatUmam', '0300IbnRusta.AclaqNafisa', '0300IbnKhurdadhbih.MasalikWaMamalik']"
93,228,1,['0845Maqrizi.Muqaffa']
94,230,2,"['0821Qalqashandi.SubhAcsha', '0930IbnIyas.NuzhatUmam']"
95,231,0,[]
96,232,1,['0930IbnIyas.NuzhatUmam']
97,233,1,['0930IbnIyas.NuzhatUmam']
98,234,2,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam']"
99,235,2,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam']"
100,239,1,['0764Safadi.WafiBiWafayat']
101,242,3,"['0845Maqrizi.Suluk', '0692IbnCabdZahir.RawdZahir', '0725BaybarsMansuri.ZubdatFikra']"
102,243,1,['0930IbnIyas.NuzhatUmam']
103,244,4,"['0845Maqrizi.Suluk', '0874IbnTaghribirdi.NujumZahira', '0807IbnFurat.TarikhDuwal', '0930IbnIyas.NuzhatUmam']"
104,246,1,['0733Nuwayri.NihayatArab']
105,249,0,[]
106,253,0,[]
107,254,0,[]
108,255,11,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0736IbnDawadari.KanzDurar', '0911Suyuti.HusnMuhadara', '0596IbnWasifShah.MukhtasarCajaibDunya', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0749ZaynDinIbnWardi.FathRahim', '0629CabdLatifBaghdadi.IfadaWaIctibar', '0911Suyuti.TuhfatKiram']"
109,256,7,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0736IbnDawadari.KanzDurar', '0596IbnWasifShah.MukhtasarCajaibDunya', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
110,257,6,"['0733Nuwayri.NihayatArab', '0911Suyuti.HusnMuhadara', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0911Suyuti.TuhfatKiram']"
111,258,7,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0911Suyuti.HusnMuhadara', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0911Suyuti.TuhfatKiram']"
112,259,8,"['0733Nuwayri.NihayatArab', '0855BadrDinCayni.SayfMuhannad', '0736IbnDawadari.KanzDurar', '0911Suyuti.HusnMuhadara', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0911Suyuti.TuhfatKiram']"
113,268,10,"['0814IbnZayyat.KawakibSayyara', '0626YaqutHamawi.MucjamBuldan', '0900IbnCabdMuncimHimyari.RawdMictar', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0682ZakariyaQazwini.AtharBilad', '0596IbnWasifShah.MukhtasarCajaibDunya', '0649MuhammadIdrisi.Anwar', '0600KatibMarrakushi.Istibsar', '0600PseudoMascudi.AkhbarZaman']"
114,275,3,"['0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0629CabdLatifBaghdadi.IfadaWaIctibar']"
115,276,2,"['0930IbnIyas.NuzhatUmam', '0629CabdLatifBaghdadi.IfadaWaIctibar']"
116,281,1,['0930IbnIyas.NuzhatUmam']
117,286,2,"['0845Maqrizi.MusawwadatMawaciz', '0930IbnIyas.NuzhatUmam']"
118,287,0,[]
119,288,0,[]
120,289,0,[]
121,290,0,[]
122,291,0,[]
123,292,3,"['0745AbuHayyanGharnati.TafsirBahrMuhit', '0458IbnSidaMursi.IcrabQuran', '0930IbnIyas.NuzhatUmam']"
124,293,1,['0930IbnIyas.NuzhatUmam']
125,298,4,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
126,299,7,"['0733Nuwayri.NihayatArab', '0487AbuCubaydBakri.MasalikWaMamalik', '0911Suyuti.HusnMuhadara', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.BadaicZuhur', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
127,300,4,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
128,301,1,['0930IbnIyas.NuzhatUmam']
129,302,2,"['0733Nuwayri.NihayatArab', '0600PseudoMascudi.AkhbarZaman']"
130,303,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
131,304,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
132,305,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
133,306,1,['0930IbnIyas.NuzhatUmam']
134,309,1,['0646IbnQifti.IkhbarCulama']
135,311,0,[]
136,312,3,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0600PseudoMascudi.AkhbarZaman']"
137,313,2,"['0736IbnDawadari.KanzDurar', '0600PseudoMascudi.AkhbarZaman']"
138,314,0,[]
139,315,3,"['0733Nuwayri.NihayatArab', '0487AbuCubaydBakri.MasalikWaMamalik', '0600PseudoMascudi.AkhbarZaman']"
140,316,1,['0733Nuwayri.NihayatArab']
141,317,0,[]
142,318,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
143,319,1,['0733Nuwayri.NihayatArab']
144,320,1,['0733Nuwayri.NihayatArab']
145,324,2,"['0733Nuwayri.NihayatArab', '0600PseudoMascudi.AkhbarZaman']"
146,325,5,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya']"
147,331,2,"['0733Nuwayri.NihayatArab', '0600PseudoMascudi.AkhbarZaman']"
148,332,3,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik']"
149,333,2,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar']"
150,334,3,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0596IbnWasifShah.MukhtasarCajaibDunya']"
151,344,2,"['0845Maqrizi.KhabarCanBashar', '0375AnonymousTranslator.TarikhCalamUrusiyus']"
152,345,2,"['0845Maqrizi.KhabarCanBashar', '0375AnonymousTranslator.TarikhCalamUrusiyus']"
153,348,3,"['0845Maqrizi.KhabarCanBashar', '0346Mascudi.TanbihWaIshraf', '0276IbnQutaybaDinawari.AnwaFiMawasim']"
154,349,1,['0845Maqrizi.KhabarCanBashar']
155,366,1,['0930IbnIyas.NuzhatUmam']
156,367,4,"['0671AbuCabdAllahQurtubi.JamicLiAhkamQuran', '0548IbnHasanTabarsi.TafsirMajmacBayan', '0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
157,369,5,"['0850ShihabDinIbshihi.Mustatraf', '0845Maqrizi.KhabarCanBashar', '0565AbuHamidGharnati.TuhfatAlbab', '0885BurhanDinBiqaci.CunwanZaman', '0930IbnIyas.NuzhatUmam']"
158,370,1,['0845Maqrizi.KhabarCanBashar']
159,389,0,[]
160,390,0,[]
161,395,1,['0350MuhammadKindi.WulatMisr']
162,396,1,['0350MuhammadKindi.WulatMisr']
163,397,1,['0350MuhammadKindi.WulatMisr']
164,398,2,"['0845Maqrizi.Muqaffa', '0350MuhammadKindi.WulatMisr']"
165,399,0,[]
166,400,0,[]
167,401,0,[]
168,406,6,"['0845Maqrizi.Muqaffa', '0900IbnCabdMuncimHimyari.RawdMictar', '0487AbuCubaydBakri.MasalikWaMamalik', '0350MuhammadKindi.WulatMisr', '0600KatibMarrakushi.Istibsar', '0845Maqrizi.Bayan']"
169,407,1,['0350MuhammadKindi.WulatMisr']
170,408,1,['0350MuhammadKindi.WulatMisr']
171,409,1,['0350MuhammadKindi.WulatMisr']
172,410,1,['0350MuhammadKindi.WulatMisr']
173,411,0,[]
174,413,1,['0930IbnIyas.NuzhatUmam']
175,414,1,['0930IbnIyas.NuzhatUmam']
176,416,1,['0930IbnIyas.NuzhatUmam']
177,418,2,"['0930IbnIyas.NuzhatUmam', '0367IbnHawqal.SuratArd']"
178,419,1,['0930IbnIyas.NuzhatUmam']
179,421,2,"['0902Sakhawi.Buldaniyyat', '0300IbnKhurdadhbih.MasalikWaMamalik']"
180,423,52,"['0743SharafDinTibi.FutuhGhayb', '0310Tabari.JamicBayan', '0748Dhahabi.Muhadhdhab', '0911Suyuti.DurrManthur', '0923AhmadQastallani.IrshadSari', '0730NizamDinNaysaburi.GharaibQuran', '0430AbuNucaymIsbahani.HilyatAwliya', '0741KhazinBaghdadi.LubabTawil', '0537AbuHafsNasafi.TaysirFiTafsir', '0427AbuIshaqThaclabi.KashfWaBayan', '0541IbnCatiyyaAndalusi.MuharrarWajiz', '0671AbuCabdAllahQurtubi.JamicLiAhkamQuran', '0745AbuHayyanGharnati.TafsirBahrMuhit', '0468IbnAhmadWahidiNaysaburi.WasitFiTafsir', '0852IbnHajarCasqalani.IthafMahara', '0810IbnHadi.JawharShaffaf', '0988FathAllahKashani.ZubdatTafasir', '0950MuhyiDinShaykhZada.HashiyaCalaTafsirBaydawi', '0880IbnCadilHanbali.LubabFiCulumKitab', '0774IbnKathir.TafsirQuran', '0280HudHawwari.Tafsir', '0977KhatibShirbini.SirajMunir', '0728IbnTaymiyya.FatawaKubra', '0606FakhrDinRazi.MafatihGhayb', '0548IbnHasanTabarsi.TafsirMajmacBayan', '0405HakimNaysaburi.Mustadrak', '0548IbnHasanTabarsi.TafsirJawamicJamic', '0458Bayhaqi.SunanKubra', '0458Bayhaqi.MacrifatSunanWaAthar', '0928MujirDinCulaymi.FathRahman', '0510IbnMascudBaghawi.Tafsir', '0845Maqrizi.KhabarCanBashar', '0808MuhammadDamiri.HayatHayawanKubra', '0856IbnDawudHanbali.KanzAkbar', '0494HakimJushami.TahdhibFiTafsir', '0982IbnMuhammadAbuSucud.IrshadCaqlSalim', '0685NasirDinBaydawi.AnwarTanzil', '0710IbnAhmadHafizDinNasafi.Tafsir', '0360Tabarani.TafsirKabir', '0360Tabarani.Tafsir', '0538JarAllahZamakhshari.Kashshaf', '0327IbnAbiHatimRazi.Tafsir', '0373AbuLaythSamarqandi.BahrCulum', '0682ZakariyaQazwini.AtharBilad', '0211CabdRazzaqSancani.Tafsir', '0458Bayhaqi.AhkamQuranLiShafici', '0548Shahrastani.MafatihAsrar', '0204Shafici.TafsirShafici', '0850Acqam.Tafsir', '0520IbnWalidTurtushi.Hawadith', '0204Shafici.AhkamQuran', '0281IbnAbiDunya.Cuqubat']"
181,425,2,"['0736IbnDawadari.KanzDurar', '0600PseudoMascudi.AkhbarZaman']"
182,426,2,"['0845Maqrizi.Muqaffa', '0626YaqutHamawi.MucjamBuldan']"
183,427,2,"['0745AbuHayyanGharnati.TafsirBahrMuhit', '0930IbnIyas.NuzhatUmam']"
184,431,1,['0900IbnCabdMuncimHimyari.RawdMictar']
185,434,1,['0930IbnIyas.NuzhatUmam']
186,436,1,['0930IbnIyas.NuzhatUmam']
187,437,0,[]
188,439,1,['0930IbnIyas.NuzhatUmam']
189,440,1,['0930IbnIyas.NuzhatUmam']
190,441,0,[]
191,442,1,['0930IbnIyas.NuzhatUmam']
192,445,0,[]
193,446,1,['0930IbnIyas.NuzhatUmam']
194,447,2,"['0900IbnCabdMuncimHimyari.RawdMictar', '0257IbnCabdHakam.FutuhMisr']"
195,448,0,[]
196,449,0,[]
197,450,0,[]
198,451,1,['0845Maqrizi.Muqaffa']
199,456,2,"['0845Maqrizi.Muqaffa', '0930IbnIyas.NuzhatUmam']"
200,458,1,['0845Maqrizi.Bayan']
201,459,0,[]
202,460,0,[]
203,461,0,[]
204,463,0,[]
205,464,2,"['0930IbnIyas.NuzhatUmam', '0614IbnJubayr.Rihla']"
206,465,2,"['0930IbnIyas.NuzhatUmam', '0614IbnJubayr.Rihla']"
207,466,3,"['0748Adfuwi.TalicSacid', '0930IbnIyas.BadaicZuhur', '0930IbnIyas.NuzhatUmam']"
208,472,1,['0775IbnAbiWafa.JawahirMudiya']
209,474,2,"['0845Maqrizi.ItticazHunafa', '0420Musabbihi.AkhbarMisr']"
210,483,2,"['0749IbnFadlAllahCumari.MasalikAbsar', '0367IbnHawqal.SuratArd']"
211,488,3,"['0902Sakhawi.AjwibaMurdiyya', '0207Waqidi.FutuhSham', '0930IbnIyas.NuzhatUmam']"
212,489,4,"['0902Sakhawi.AjwibaMurdiyya', '0626YaqutHamawi.MucjamBuldan', '0930IbnIyas.NuzhatUmam', '0350MuhammadKindi.WulatMisr']"
213,490,3,"['0626YaqutHamawi.MucjamBuldan', '0930IbnIyas.NuzhatUmam', '0350MuhammadKindi.WulatMisr']"
214,491,2,"['0845Maqrizi.ItticazHunafa', '0930IbnIyas.NuzhatUmam']"
215,492,1,['0930IbnIyas.NuzhatUmam']
216,493,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
217,494,5,"['0845Maqrizi.Suluk', '0630IbnAthirCizzDin.Kamil', '0808IbnKhaldun.Tarikh', '0807IbnFurat.TarikhDuwal', '0697IbnWasil.MufarrijKurub']"
218,495,8,"['0733Nuwayri.NihayatArab', '0947BamakhramaHimyari.QiladatNahr', '0768Yafici.MiratJinan', '0764Safadi.WafiBiWafayat', '0845Maqrizi.Suluk', '0681IbnKhallikan.WafayatAcyan', '0726Yunini.DhaylMiratZaman', '0807IbnFurat.TarikhDuwal']"
219,496,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
220,498,1,['0845Maqrizi.Suluk']
221,499,6,"['0845Maqrizi.Suluk', '0630IbnAthirCizzDin.Kamil', '0749IbnFadlAllahCumari.MasalikAbsar', '0749ZaynDinIbnWardi.Tarikh', '0697IbnWasil.MufarrijKurub', '0927Culaymi.UnsJalil']"
222,500,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
223,501,2,"['0845Maqrizi.Suluk', '0809IbnDuqmaq.NuzhatAnam']"
224,502,3,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam', '0809IbnDuqmaq.NuzhatAnam']"
225,503,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
226,504,1,['0845Maqrizi.Suluk']
227,505,1,['0845Maqrizi.Suluk']
228,506,1,['0845Maqrizi.Suluk']
229,507,3,"['0845Maqrizi.Suluk', '0845Maqrizi.Muqaffa', '0726Yunini.DhaylMiratZaman']"
230,509,3,"['0845Maqrizi.Suluk', '0874IbnTaghribirdi.NujumZahira', '0930IbnIyas.NuzhatUmam']"
231,511,2,"['0902Sakhawi.DawLamic', '0930IbnIyas.NuzhatUmam']"
232,512,1,['0930IbnIyas.NuzhatUmam']
233,513,1,['0930IbnIyas.NuzhatUmam']
234,514,0,[]
235,515,1,['0930IbnIyas.NuzhatUmam']
236,516,1,['0930IbnIyas.NuzhatUmam']
237,517,1,['0930IbnIyas.NuzhatUmam']
