,ms,reuser_count,reusers
0,1,2,"['0845Maqrizi.MusawwadatMawaciz', '0930IbnIyas.NuzhatUmam']"
1,2,1,['0845Maqrizi.MusawwadatMawaciz']
2,4,1,['0845Maqrizi.MusawwadatMawaciz']
3,5,2,"['0845Maqrizi.MusawwadatMawaciz', '0845Maqrizi.KhabarCanBashar']"
4,6,1,['0845Maqrizi.MusawwadatMawaciz']
5,7,1,['0845Maqrizi.MusawwadatMawaciz']
6,9,2,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar']"
7,10,1,['0375IkhwanSafa.Rasail']
8,11,1,['0375IkhwanSafa.Rasail']
9,12,19,"['0458IbnSidaMursi.MuhkamWaMuhit', '0711IbnManzurIfriqi.LisanCarab', '0821Qalqashandi.SubhAcsha', '0804IbnMulaqqin.Tawdih', '0654SibtIbnJawzi.MiratZaman', '0845Maqrizi.KhabarCanBashar', '0393IbnHammadJawhari.SihahTajLugha', '0910MuhammadIbnZahiraQurashi.ManhalMahul', '0666IbnAbiBakrZaynDinRazi.MukhtarSihah', '0942IbnYusufShami.SubulHuda', '0736IbnDawadari.KanzDurar', '0817MajdDinFiruzabadi.QamusMuhit', '0393IbnHammadJawhari.MuntakhabMinSihahJawhari', '0276IbnQutaybaDinawari.AdabKatib', '0682ZakariyaQazwini.CajaibMakhluqat', '0770IbnMuhammadFayyumiHamawi.MisbahMunir', '0375IkhwanSafa.Rasail', '0284Bandaniji.Taqfiya', '0375IkhwanSafa.RisalatJamica']"
10,16,4,"['0749IbnFadlAllahCumari.MasalikAbsar', '0626YaqutHamawi.MucjamBuldan', '0845Maqrizi.KhabarCanBashar', '0375IkhwanSafa.Rasail']"
11,17,4,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0375IkhwanSafa.Rasail', '0930IbnIyas.NuzhatUmam']"
12,21,4,"['0845Maqrizi.KhabarCanBashar', '0375IkhwanSafa.Rasail', '0930IbnIyas.NuzhatUmam', '0292Yacqubi.Tarikh']"
13,23,10,"['0597IbnJawzi.Muntazam', '0654SibtIbnJawzi.MiratZaman', '0626YaqutHamawi.MucjamBuldan', '0845Maqrizi.KhabarCanBashar', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0300IbnRusta.AclaqNafisa', '0355IbnQass.DalailQibla', '0597IbnJawzi.TanwirGhabash', '0383IbnCabbasKhwarizmi.MufidCulum']"
14,24,2,"['0845Maqrizi.KhabarCanBashar', '0218HajjajIbnYusufIbnMatar.Majisti']"
