,reuser,ms_count
202,0128IbnAbiHabibMisri.AhadithYazid,1
220,0463IbnCabdBarr.IsticabFiMacrifatAshab,1
225,0871IbnAhmadShamsDinBacuni.JawahirMatalib,1
226,0855IbnSabbaghMakki.FusulMuhimma,1
227,0671AbuCabdAllahQurtubi.TadhkiraFiAhwalMawta,1
233,0905IbnCabdRahmanIjiShafici.FadailThaqalayn,1
235,0320IbnMuhammadBayhaqi.Mahasin,1
240,0718AbuIshaqWatwat.GhurarKhasais,1
242,0748Dhahabi.TadhhibTahdhib,1
243,0499MurshidYahyaIbnShajari.Amali,1
247,0555IbnQalanisi.TarikhDimashq,1
248,0597CimadDinKatibIsfahani.Diwan,1
257,0583SibtIbnTacawidhiShacir.Diwan,1
269,0650JamalDinJawbari.MukhtarFiKashfAsrar,1
271,0658IbnAbbar.HullaSiyara,1
274,0619AbuCabbasSharishi.SharhMaqamatHariri,1
275,0606IbnMamati.LataifDhakhira,1
276,0658IbnAbbar.IctabKitab,1
301,0684IbnShaddad.TarikhMalikZahir,1
297,0458YahyaIbnSacidAntaki.Tarikh,1
296,0261Khassaf.Hiyal,1
294,0463KhatibBaghdadi.AsmaMubhama,1
293,0311IbnBajirBajiri.JamicMusnad,1
288,0276IbnQutaybaDinawari.Macarif,1
219,0656AbuCabbasAnsariQurtubi.Mufhim,1
287,0970IbnIbrahimIbnNujaymMisri.BahrRaiq,1
284,0795IbnRajabHanbali.DhaylTabaqatHanabila,1
283,0763IbnMuflihMaqdisi.FurucWaTashihFuruc,1
282,0885CalaDinMardawi.Insaf,1
281,0685IbnSacidMaghribi.Muqtataf,1
279,0690IbnMujawirDimashqi.TarikhMustabsir,1
278,0654IbnShaccarMawsili.Qalaid,1
286,0725BaybarsMansuri.TuhfaMulukiyya,1
213,0643FathBundari.MukhtasarSanaBarqShami,1
208,0362IbnHaniAndalusi.Diwan,1
205,0845Maqrizi.IghathaUmma,1
160,0373AbuLaythSamarqandi.BahrCulum,1
159,0327IbnAbiHatimRazi.Tafsir,1
158,0538JarAllahZamakhshari.Kashshaf,1
157,0360Tabarani.Tafsir,1
156,0360Tabarani.TafsirKabir,1
155,0710IbnAhmadHafizDinNasafi.Tafsir,1
161,0211CabdRazzaqSancani.Tafsir,1
154,0685NasirDinBaydawi.AnwarTanzil,1
152,0494HakimJushami.TahdhibFiTafsir,1
151,0856IbnDawudHanbali.KanzAkbar,1
150,0808MuhammadDamiri.HayatHayawanKubra,1
149,0510IbnMascudBaghawi.Tafsir,1
147,0458Bayhaqi.MacrifatSunanWaAthar,1
145,0548IbnHasanTabarsi.TafsirJawamicJamic,1
153,0982IbnMuhammadAbuSucud.IrshadCaqlSalim,1
302,0837IbnHijjaHamawi.KhizanatAdab,1
162,0458Bayhaqi.AhkamQuranLiShafici,1
164,0204Shafici.TafsirShafici,1
204,0717CabbasSafadi.NuzhatMalikWaMamluk,1
203,0255Jahiz.Hayawan,1
404,0388Shabushti.Diyarat,1
399,0751IbnQayyimJawziyya.HidayatHayara,1
199,0538JarAllahZamakhshari.RabicAbrar,1
198,0664IbnTawus.MalahimWaFitan,1
163,0548Shahrastani.MafatihAsrar,1
197,0685IbnYahyaSulami.CiqdDurar,1
174,0207Waqidi.FutuhSham,1
170,0748Adfuwi.TalicSacid,1
168,0281IbnAbiDunya.Cuqubat,1
167,0204Shafici.AhkamQuran,1
166,0520IbnWalidTurtushi.Hawadith,1
165,0850Acqam.Tafsir,1
196,0444AbuCamrDani.SunanWarida,1
