ms,word_3,word_2,word_1
757,عقيل,ابن,له
760,في,داود,أبو
762,عن,لهيعة,ابن
762,سعد,بن,الليث
768,بن,محمد,الشريف
775,عن,سعيد,ابن
776,آخر,كتاب,عن
776,ابن,كتاب,عن
784,الله,رحمه,مؤلفه
784,الله,رحمه,مؤلفه
785,عن,المتوج,ابن
790,الله,رحمه,مؤلفه
799,الله,عبد,أبو
833,في,سعيد,ابن
838,الحسين,الدين,زكي
843,الدين,جلال,العلامة
844,الدين,محيي,المعارف
873,الذخائر,كتاب,في
873,محمد,أبو,المرتضى
876,عز,المختار,الأمير
879,أسره,الذي,له
879,محيي,الرئيس,القاضي
908,الليث,أبي,لابن
914,الظاهر,عبد,ابن
918,يقتل,أن,قبل
921,الذخائر,كتاب,في
921,الظاهر,عبد,ابن
941,الذخائر,كتاب,في
954,الذخائر,كتاب,في
957,إلا,إله,لا
962,الظاهر,عبد,ابن
967,لشمر,زياد,ابن
973,طيء,أبي,ابن
973,في,المأمون,ابن
976,الظاهرية,السيرة,جامع
980,القول,هذا,لهما
987,الظاهر,عبد,ابن
991,طي,أبي,ابن
1001,الظاهر,عبد,ابن
1002,وقفها,كتاب,في
1002,الظاهر,عبد,ابن
1003,الظاهر,عبد,ابن
1014,الظاهر,عبد,ابن
1019,ذلك,بعد,المأمون
1026,الحاضرين,إلى,مشيرا
1029,الذخائر,كتاب,في
1030,الظاهر,عبد,ابن
1031,عز,المختار,الأمير
1041,في,المأمون,ابن
1047,سبع,سنة,في
1053,يرد,عمارة,الفقيه
1057,في,زولاق,ابن
1068,الذخائر,كتاب,في
1075,الذخائر,كتاب,في
1077,الظاهر,عبد,ابن
1077,عن,الطوير,ابن
1082,للأمراء,المأمون,الوزير
1091,بأحكام,الآمر,الخليفة
1091,في,له,مجيبا
1092,الظاهر,عبد,ابن
1096,عن,الطوير,ابن
1096,حواشي,من,لجماعة
1101,في,الجواني,الشريف
1112,الدين,جمال,الحافظ
1112,الظاهر,عبد,ابن
1120,الظاهر,عبد,ابن
1125,الله,عبد,فيه
1138,الظاهر,عبد,ابن
1138,الظاهر,عبد,ابن
1142,في,سيده,ابن
1142,بن,محمد,الشريف
1147,الظاهر,عبد,ابن
1148,الظاهر,عبد,ابن
1163,باب,في,ياقوت
1163,في,الفاضل,القاضي
1166,في,زولاق,ابن
1175,محب,ابنه,لي
1184,يا,والله,طرنطاي
1189,صلاح,المؤرخ,الأديب
1189,سمعنا,وما,الزمان
1191,الظاهر,عبد,ابن
1197,من,مكة,أين
1198,جلال,القضاة,قاضي
1216,سبيل,على,له
1240,أربيه,أنا,السلطان
