,Unnamed: 0.1,Unnamed: 0,uri,ms,origin,origin_prev_ms
193,193,227.0,0257IbnCabdHakam.FutuhMisr,48,self,False
1064,2,,0257IbnCabdHakam.FutuhMisr,48,0930IbnIyas.NuzhatUmam.93,False
793,793,842.0,0347IbnYunusSadafi.Tarikh,48,self,False
194,194,228.0,0257IbnCabdHakam.FutuhMisr,61,self,False
195,195,229.0,0257IbnCabdHakam.FutuhMisr,62,self,False
196,196,230.0,0257IbnCabdHakam.FutuhMisr,63,self,False
476,476,513.0,0230IbnSacd.TabaqatKubra,63,self,False
2043,0,,0230IbnSacd.TabaqatKubra,63,0597IbnJawzi.Muntazam.740,False
2044,1,,0230IbnSacd.TabaqatKubra,63,0762IbnYusufZaylaci.TakhrijAhadith.662,False
2045,2,,0230IbnSacd.TabaqatKubra,63,0762IbnYusufZaylaci.TakhrijAhadith.663,False
2046,3,,0230IbnSacd.TabaqatKubra,63,0845Maqrizi.ImtacAsmac.1428,False
2047,4,,0230IbnSacd.TabaqatKubra,63,0597IbnJawzi.Muntazam.739,True
2048,5,,0230IbnSacd.TabaqatKubra,63,0762IbnYusufZaylaci.TakhrijAhadith.661,True
2049,6,,0230IbnSacd.TabaqatKubra,63,0762IbnYusufZaylaci.TakhrijAhadith.662,True
2052,9,,0230IbnSacd.TabaqatKubra,63,0845Maqrizi.ImtacAsmac.1427,True
197,197,231.0,0257IbnCabdHakam.FutuhMisr,64,self,False
198,198,232.0,0257IbnCabdHakam.FutuhMisr,65,self,False
199,199,233.0,0257IbnCabdHakam.FutuhMisr,83,self,False
201,201,235.0,0257IbnCabdHakam.FutuhMisr,85,self,False
202,202,236.0,0257IbnCabdHakam.FutuhMisr,86,self,False
830,830,880.0,0000AnonymousPlural,86,self,False
2434,3,,0000AnonymousPlural,86,0930IbnIyas.NuzhatUmam.44,False
203,203,237.0,0257IbnCabdHakam.FutuhMisr,110,self,False
204,204,238.0,0257IbnCabdHakam.FutuhMisr,129,self,False
205,205,239.0,0257IbnCabdHakam.FutuhMisr,130,self,False
206,206,240.0,0257IbnCabdHakam.FutuhMisr,131,self,False
1045,0,,0257IbnCabdHakam.FutuhMisr,131,0911Suyuti.HusnMuhadara.652,False
1048,3,,0257IbnCabdHakam.FutuhMisr,131,0930IbnIyas.BadaicZuhur.88,False
1049,4,,0257IbnCabdHakam.FutuhMisr,131,0930IbnIyas.BadaicZuhur.89,False
1051,6,,0257IbnCabdHakam.FutuhMisr,131,0930IbnIyas.BadaicZuhur.87,True
1052,7,,0257IbnCabdHakam.FutuhMisr,131,0930IbnIyas.BadaicZuhur.88,True
207,207,241.0,0257IbnCabdHakam.FutuhMisr,132,self,False
1830,2,,0257IbnCabdHakam.FutuhMisr,132,0911Suyuti.HusnMuhadara.652,False
1831,3,,0257IbnCabdHakam.FutuhMisr,132,0911Suyuti.HusnMuhadara.653,False
1839,11,,0257IbnCabdHakam.FutuhMisr,132,0911Suyuti.HusnMuhadara.652,True
208,208,242.0,0257IbnCabdHakam.FutuhMisr,158,self,False
2219,2,,0257IbnCabdHakam.FutuhMisr,158,0930IbnIyas.NuzhatUmam.93,False
209,209,243.0,0257IbnCabdHakam.FutuhMisr,160,self,False
2534,0,,0257IbnCabdHakam.FutuhMisr,160,0626YaqutHamawi.MucjamBuldan.1696,False
2536,2,,0257IbnCabdHakam.FutuhMisr,160,0930IbnIyas.NuzhatUmam.93,True
210,210,244.0,0257IbnCabdHakam.FutuhMisr,167,self,False
2323,2,,0257IbnCabdHakam.FutuhMisr,167,0911Suyuti.HusnMuhadara.99,False
2324,3,,0257IbnCabdHakam.FutuhMisr,167,0911Suyuti.HusnMuhadara.98,True
211,211,245.0,0257IbnCabdHakam.FutuhMisr,168,self,False
212,212,246.0,0257IbnCabdHakam.FutuhMisr,169,self,False
2642,0,,0257IbnCabdHakam.FutuhMisr,169,0911Suyuti.HusnMuhadara.101,False
2643,1,,0257IbnCabdHakam.FutuhMisr,169,0911Suyuti.HusnMuhadara.102,False
2644,2,,0257IbnCabdHakam.FutuhMisr,169,0911Suyuti.HusnMuhadara.100,True
2645,3,,0257IbnCabdHakam.FutuhMisr,169,0911Suyuti.HusnMuhadara.101,True
213,213,247.0,0257IbnCabdHakam.FutuhMisr,172,self,False
214,214,248.0,0257IbnCabdHakam.FutuhMisr,173,self,False
2121,0,,0257IbnCabdHakam.FutuhMisr,173,0911Suyuti.HusnMuhadara.84,False
2122,1,,0257IbnCabdHakam.FutuhMisr,173,0911Suyuti.HusnMuhadara.85,False
2123,2,,0257IbnCabdHakam.FutuhMisr,173,0911Suyuti.HusnMuhadara.98,False
2124,3,,0257IbnCabdHakam.FutuhMisr,173,0911Suyuti.HusnMuhadara.380,False
2127,6,,0257IbnCabdHakam.FutuhMisr,173,0911Suyuti.HusnMuhadara.83,True
2128,7,,0257IbnCabdHakam.FutuhMisr,173,0911Suyuti.HusnMuhadara.84,True
2129,8,,0257IbnCabdHakam.FutuhMisr,173,0911Suyuti.HusnMuhadara.97,True
215,215,249.0,0257IbnCabdHakam.FutuhMisr,174,self,False
1037,0,,0257IbnCabdHakam.FutuhMisr,174,0911Suyuti.HusnMuhadara.98,False
1038,1,,0257IbnCabdHakam.FutuhMisr,174,0911Suyuti.HusnMuhadara.99,False
1039,2,,0257IbnCabdHakam.FutuhMisr,174,0911Suyuti.HusnMuhadara.97,True
1040,3,,0257IbnCabdHakam.FutuhMisr,174,0911Suyuti.HusnMuhadara.98,True
216,216,250.0,0257IbnCabdHakam.FutuhMisr,175,self,False
1678,0,,0257IbnCabdHakam.FutuhMisr,175,0911Suyuti.HusnMuhadara.99,False
1679,1,,0257IbnCabdHakam.FutuhMisr,175,0911Suyuti.HusnMuhadara.108,False
1681,3,,0257IbnCabdHakam.FutuhMisr,175,0911Suyuti.HusnMuhadara.98,True
1682,4,,0257IbnCabdHakam.FutuhMisr,175,0911Suyuti.HusnMuhadara.107,True
217,217,251.0,0257IbnCabdHakam.FutuhMisr,176,self,False
218,218,252.0,0257IbnCabdHakam.FutuhMisr,177,self,False
943,0,,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.99,False
944,1,,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.100,False
945,2,,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.98,True
946,3,,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.99,True
219,219,253.0,0257IbnCabdHakam.FutuhMisr,178,self,False
1175,0,,0257IbnCabdHakam.FutuhMisr,178,0911Suyuti.HusnMuhadara.100,False
1176,1,,0257IbnCabdHakam.FutuhMisr,178,0911Suyuti.HusnMuhadara.101,False
1177,2,,0257IbnCabdHakam.FutuhMisr,178,0911Suyuti.HusnMuhadara.99,True
1178,3,,0257IbnCabdHakam.FutuhMisr,178,0911Suyuti.HusnMuhadara.100,True
