,ms,reuser_count,reusers
19,31,5,"['0626YaqutHamawi.MucjamBuldan', '0845Maqrizi.KhabarCanBashar', '0739SafiDinHanbali.Marasid', '0930IbnIyas.NuzhatUmam', '0911Suyuti.AsmaBiqac']"
20,32,2,"['0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
21,33,2,"['0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
22,34,3,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
23,38,5,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
24,39,7,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600KatibMarrakushi.Istibsar', '0600PseudoMascudi.AkhbarZaman']"
25,52,9,"['0845Maqrizi.ImtacAsmac', '0807NurDinHaythami.MajmacZawaid', '0360Tabarani.MucjamKabir', '0942IbnYusufShami.SubulHuda', '0736IbnDawadari.KanzDurar', '0460ShaykhTusi.Amali', '0911Suyuti.HusnMuhadara', '0783IbnHadida.MisbahMudi', '0257IbnCabdHakam.FutuhMisr']"
26,57,2,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam']"
27,70,7,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
28,71,7,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600KatibMarrakushi.Istibsar', '0600PseudoMascudi.AkhbarZaman']"
29,73,4,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
30,74,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
31,75,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
32,76,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
33,77,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
34,78,6,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
35,79,5,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
36,80,3,"['0733Nuwayri.NihayatArab', '0487AbuCubaydBakri.MasalikWaMamalik', '0930IbnIyas.NuzhatUmam']"
37,95,0,[]
38,96,0,[]
39,97,0,[]
40,98,0,[]
41,99,1,['0930IbnIyas.NuzhatUmam']
42,100,1,['0930IbnIyas.NuzhatUmam']
43,101,0,[]
44,102,0,[]
45,103,0,[]
46,104,0,[]
47,105,0,[]
48,106,1,['0930IbnIyas.NuzhatUmam']
49,116,5,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
50,117,5,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
51,122,1,['0930IbnIyas.NuzhatUmam']
52,123,1,['0930IbnIyas.NuzhatUmam']
53,124,1,['0930IbnIyas.NuzhatUmam']
54,125,1,['0930IbnIyas.NuzhatUmam']
55,126,1,['0930IbnIyas.NuzhatUmam']
56,127,1,['0930IbnIyas.NuzhatUmam']
57,128,1,['0930IbnIyas.NuzhatUmam']
58,140,5,"['0646IbnBaytarAndalusi.JamicLiMufradat', '0428IbnSina.QanunFiTibb', '0696AshrafIbnYusufTurkumani.Muctamid', '0750IbnQasimKilani.SharhFusulAbuqrat', '0930IbnIyas.NuzhatUmam']"
59,141,2,"['0911Suyuti.HusnMuhadara', '0930IbnIyas.NuzhatUmam']"
60,146,0,[]
61,147,1,['0930IbnIyas.NuzhatUmam']
62,155,2,"['0930IbnIyas.NuzhatUmam', '0440AbuRayhanBiruni.AtharBaqiya']"
63,156,1,['0930IbnIyas.NuzhatUmam']
64,157,1,['0930IbnIyas.NuzhatUmam']
65,162,1,['0930IbnIyas.NuzhatUmam']
66,164,1,['0930IbnIyas.NuzhatUmam']
67,171,3,"['0850ShihabDinIbshihi.Mustatraf', '0736IbnDawadari.KanzDurar', '0520IbnWalidTurtushi.SirajMuluk']"
68,181,1,['0350MuhammadKindi.WulatMisr']
69,186,1,['0930IbnIyas.NuzhatUmam']
70,187,0,[]
71,191,2,"['0588IbnMamun.AkhbarMisr', '0845Maqrizi.ItticazHunafa']"
72,192,1,['0588IbnMamun.AkhbarMisr']
73,193,1,['0588IbnMamun.AkhbarMisr']
74,196,1,['0845Maqrizi.ItticazHunafa']
75,201,1,['0845Maqrizi.Suluk']
76,202,1,['0845Maqrizi.Suluk']
77,203,1,['0845Maqrizi.Suluk']
78,204,0,[]
79,205,0,[]
80,206,0,[]
81,207,0,[]
82,208,13,"['0893CamiriHaradi.BahjatMahafil', '0986IbnCaliFattani.MajmacBihar', '0733Nuwayri.NihayatArab', '0821Qalqashandi.SubhAcsha', '0626YaqutHamawi.MucjamBuldan', '0450AbuHasanMawardi.AhkamSultaniyya', '0676Nawawi.TahdhibAsma', '0458AbuYaclaIbnFarra.AhkamSultaniyya', '0709IbnAbiFathShamsDinBacli.MatlacCalaAbwabMuqnic', '0930IbnIyas.NuzhatUmam', '0367IbnHawqal.SuratArd', '0733IbnJamacaBadrDinHamawi.TahrirAhkam', '0911Suyuti.AsmaBiqac']"
83,210,18,"['0911Suyuti.JamicKabir', '0733Nuwayri.NihayatArab', '0748Dhahabi.TarikhIslam', '0821Qalqashandi.SubhAcsha', '0279Baladhuri.FutuhBuldan', '0975MuttaqiHindi.KanzCummal', '0656IbnAbiHadid.SharhNahjBalagha', '0748Dhahabi.SiyarAclamNubala', '0230IbnSacd.TabaqatKubra', '0597IbnJawzi.Muntazam', '0911Suyuti.TarikhKhulafa', '0654SibtIbnJawzi.MiratZaman', '0776MuhammadIbnHasanWasiti.MajmacAhbab', '0310Tabari.Tarikh', '0821Qalqashandi.Maathir', '0789IbnMuhammadKhuzaci.TakhrijDalalat', '0450AbuHasanMawardi.AhkamSultaniyya', '0458AbuYaclaIbnFarra.AhkamSultaniyya']"
84,211,13,"['0733Nuwayri.NihayatArab', '0630IbnAthirCizzDin.Kamil', '0597IbnJawzi.Muntazam', '0597IbnJawzi.KashfMushkil', '0654SibtIbnJawzi.MiratZaman', '0310Tabari.Tarikh', '0749ZaynDinIbnWardi.Tarikh', '0774IbnKathir.MusnadCumarIbnKhattab', '0597IbnJawzi.ShudhurCuqud', '0732AbuFida.MukhtasarFiAkhbar', '0662HusaynIbnBadrDin.ShifaUwam', '0909IbnMabrid.MahdSawab', '0815MuhibbDinIbnShihna.RawdMunazir']"
85,212,9,"['0733Nuwayri.NihayatArab', '0630IbnAthirCizzDin.Kamil', '0656IbnAbiHadid.SharhNahjBalagha', '0597IbnJawzi.Muntazam', '0597IbnJawzi.KashfMushkil', '0310Tabari.Tarikh', '0774IbnKathir.MusnadCumarIbnKhattab', '0662HusaynIbnBadrDin.ShifaUwam', '0909IbnMabrid.MahdSawab']"
86,213,1,['0310Tabari.Tarikh']
87,215,5,"['0845Maqrizi.Muqaffa', '0874IbnTaghribirdi.NujumZahira', '0930IbnIyas.NuzhatUmam', '0350MuhammadKindi.WulatMisr', '0845Maqrizi.Bayan']"
88,217,0,[]
89,218,0,[]
90,222,1,['0930IbnIyas.NuzhatUmam']
91,223,7,"['0450AbuHasanMawardi.HawiKabir', '0821Qalqashandi.SubhAcsha', '0502CabdWahidRuyani.BahrMadhhab', '0450AbuHasanMawardi.AhkamSultaniyya', '0224QasimIbnSallam.Amwal', '0458AbuYaclaIbnFarra.AhkamSultaniyya', '0852IbnHajarCasqalani.JawabJalil']"
92,225,5,"['0733Nuwayri.NihayatArab', '0279Baladhuri.FutuhBuldan', '0450AbuHasanMawardi.AhkamSultaniyya', '0385IbnNadim.Fihrist', '0930IbnIyas.NuzhatUmam']"
93,227,5,"['0597IbnJawzi.Muntazam', '0699IbnCabdMalikMurjani.BahjatNufus', '0930IbnIyas.NuzhatUmam', '0300IbnRusta.AclaqNafisa', '0300IbnKhurdadhbih.MasalikWaMamalik']"
94,228,1,['0845Maqrizi.Muqaffa']
95,230,2,"['0821Qalqashandi.SubhAcsha', '0930IbnIyas.NuzhatUmam']"
96,231,0,[]
97,232,1,['0930IbnIyas.NuzhatUmam']
98,233,1,['0930IbnIyas.NuzhatUmam']
99,234,2,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam']"
100,235,2,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam']"
101,236,1,['0930IbnIyas.NuzhatUmam']
102,237,1,['0930IbnIyas.NuzhatUmam']
103,238,2,"['0764Safadi.WafiBiWafayat', '0930IbnIyas.NuzhatUmam']"
104,239,1,['0764Safadi.WafiBiWafayat']
105,242,3,"['0845Maqrizi.Suluk', '0692IbnCabdZahir.RawdZahir', '0725BaybarsMansuri.ZubdatFikra']"
106,246,1,['0733Nuwayri.NihayatArab']
107,247,8,"['0571IbnCasakir.TarikhDimashq', '0463KhatibBaghdadi.MuttafiqWaMuftariq', '0845Maqrizi.Muqaffa', '0654SibtIbnJawzi.MiratZaman', '0808MuhammadDamiri.HayatHayawanKubra', '0736IbnDawadari.KanzDurar', '0911Suyuti.HusnMuhadara', '0930IbnIyas.NuzhatUmam']"
108,249,0,[]
109,253,0,[]
110,254,0,[]
111,257,6,"['0733Nuwayri.NihayatArab', '0911Suyuti.HusnMuhadara', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0911Suyuti.TuhfatKiram']"
112,258,7,"['0733Nuwayri.NihayatArab', '0874IbnTaghribirdi.NujumZahira', '0911Suyuti.HusnMuhadara', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0911Suyuti.TuhfatKiram']"
113,259,8,"['0733Nuwayri.NihayatArab', '0855BadrDinCayni.SayfMuhannad', '0736IbnDawadari.KanzDurar', '0911Suyuti.HusnMuhadara', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0911Suyuti.TuhfatKiram']"
114,260,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
115,266,4,"['0565AbuHamidGharnati.TuhfatAlbab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam']"
116,275,3,"['0649MuhammadIdrisi.Anwar', '0930IbnIyas.NuzhatUmam', '0629CabdLatifBaghdadi.IfadaWaIctibar']"
117,276,2,"['0930IbnIyas.NuzhatUmam', '0629CabdLatifBaghdadi.IfadaWaIctibar']"
118,286,2,"['0845Maqrizi.MusawwadatMawaciz', '0930IbnIyas.NuzhatUmam']"
119,287,0,[]
120,288,0,[]
121,289,0,[]
122,290,0,[]
123,291,0,[]
124,292,3,"['0745AbuHayyanGharnati.TafsirBahrMuhit', '0458IbnSidaMursi.IcrabQuran', '0930IbnIyas.NuzhatUmam']"
125,293,1,['0930IbnIyas.NuzhatUmam']
126,294,2,"['0749IbnFadlAllahCumari.MasalikAbsar', '0930IbnIyas.NuzhatUmam']"
127,298,4,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
128,299,7,"['0733Nuwayri.NihayatArab', '0487AbuCubaydBakri.MasalikWaMamalik', '0911Suyuti.HusnMuhadara', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.BadaicZuhur', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
129,300,4,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
130,301,1,['0930IbnIyas.NuzhatUmam']
131,302,2,"['0733Nuwayri.NihayatArab', '0600PseudoMascudi.AkhbarZaman']"
132,303,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
133,304,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
134,305,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
135,306,1,['0930IbnIyas.NuzhatUmam']
136,309,1,['0646IbnQifti.IkhbarCulama']
137,311,0,[]
138,312,3,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0600PseudoMascudi.AkhbarZaman']"
139,313,2,"['0736IbnDawadari.KanzDurar', '0600PseudoMascudi.AkhbarZaman']"
140,314,0,[]
141,315,3,"['0733Nuwayri.NihayatArab', '0487AbuCubaydBakri.MasalikWaMamalik', '0600PseudoMascudi.AkhbarZaman']"
142,316,1,['0733Nuwayri.NihayatArab']
143,317,0,[]
144,318,3,"['0733Nuwayri.NihayatArab', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
145,319,1,['0733Nuwayri.NihayatArab']
146,320,1,['0733Nuwayri.NihayatArab']
147,324,2,"['0733Nuwayri.NihayatArab', '0600PseudoMascudi.AkhbarZaman']"
148,325,5,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya']"
149,328,2,"['0375AnonymousTranslator.TarikhCalamUrusiyus', '0930IbnIyas.NuzhatUmam']"
150,331,2,"['0733Nuwayri.NihayatArab', '0600PseudoMascudi.AkhbarZaman']"
151,332,3,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik']"
152,333,2,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar']"
153,334,3,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0596IbnWasifShah.MukhtasarCajaibDunya']"
154,344,2,"['0845Maqrizi.KhabarCanBashar', '0375AnonymousTranslator.TarikhCalamUrusiyus']"
155,345,2,"['0845Maqrizi.KhabarCanBashar', '0375AnonymousTranslator.TarikhCalamUrusiyus']"
156,348,3,"['0845Maqrizi.KhabarCanBashar', '0346Mascudi.TanbihWaIshraf', '0276IbnQutaybaDinawari.AnwaFiMawasim']"
157,349,1,['0845Maqrizi.KhabarCanBashar']
158,366,1,['0930IbnIyas.NuzhatUmam']
159,367,4,"['0671AbuCabdAllahQurtubi.JamicLiAhkamQuran', '0548IbnHasanTabarsi.TafsirMajmacBayan', '0845Maqrizi.KhabarCanBashar', '0930IbnIyas.NuzhatUmam']"
160,369,5,"['0850ShihabDinIbshihi.Mustatraf', '0845Maqrizi.KhabarCanBashar', '0565AbuHamidGharnati.TuhfatAlbab', '0885BurhanDinBiqaci.CunwanZaman', '0930IbnIyas.NuzhatUmam']"
161,370,1,['0845Maqrizi.KhabarCanBashar']
162,389,0,[]
163,390,0,[]
164,395,1,['0350MuhammadKindi.WulatMisr']
165,396,1,['0350MuhammadKindi.WulatMisr']
166,397,1,['0350MuhammadKindi.WulatMisr']
167,398,2,"['0845Maqrizi.Muqaffa', '0350MuhammadKindi.WulatMisr']"
168,399,0,[]
169,400,0,[]
170,401,0,[]
171,406,6,"['0845Maqrizi.Muqaffa', '0900IbnCabdMuncimHimyari.RawdMictar', '0487AbuCubaydBakri.MasalikWaMamalik', '0350MuhammadKindi.WulatMisr', '0600KatibMarrakushi.Istibsar', '0845Maqrizi.Bayan']"
172,407,1,['0350MuhammadKindi.WulatMisr']
173,408,1,['0350MuhammadKindi.WulatMisr']
174,409,1,['0350MuhammadKindi.WulatMisr']
175,410,1,['0350MuhammadKindi.WulatMisr']
176,411,0,[]
177,414,1,['0930IbnIyas.NuzhatUmam']
178,416,1,['0930IbnIyas.NuzhatUmam']
179,418,2,"['0930IbnIyas.NuzhatUmam', '0367IbnHawqal.SuratArd']"
180,419,1,['0930IbnIyas.NuzhatUmam']
181,421,2,"['0902Sakhawi.Buldaniyyat', '0300IbnKhurdadhbih.MasalikWaMamalik']"
182,423,52,"['0743SharafDinTibi.FutuhGhayb', '0310Tabari.JamicBayan', '0748Dhahabi.Muhadhdhab', '0911Suyuti.DurrManthur', '0923AhmadQastallani.IrshadSari', '0730NizamDinNaysaburi.GharaibQuran', '0430AbuNucaymIsbahani.HilyatAwliya', '0741KhazinBaghdadi.LubabTawil', '0537AbuHafsNasafi.TaysirFiTafsir', '0427AbuIshaqThaclabi.KashfWaBayan', '0541IbnCatiyyaAndalusi.MuharrarWajiz', '0671AbuCabdAllahQurtubi.JamicLiAhkamQuran', '0745AbuHayyanGharnati.TafsirBahrMuhit', '0468IbnAhmadWahidiNaysaburi.WasitFiTafsir', '0852IbnHajarCasqalani.IthafMahara', '0810IbnHadi.JawharShaffaf', '0988FathAllahKashani.ZubdatTafasir', '0950MuhyiDinShaykhZada.HashiyaCalaTafsirBaydawi', '0880IbnCadilHanbali.LubabFiCulumKitab', '0774IbnKathir.TafsirQuran', '0280HudHawwari.Tafsir', '0977KhatibShirbini.SirajMunir', '0728IbnTaymiyya.FatawaKubra', '0606FakhrDinRazi.MafatihGhayb', '0548IbnHasanTabarsi.TafsirMajmacBayan', '0405HakimNaysaburi.Mustadrak', '0548IbnHasanTabarsi.TafsirJawamicJamic', '0458Bayhaqi.SunanKubra', '0458Bayhaqi.MacrifatSunanWaAthar', '0928MujirDinCulaymi.FathRahman', '0510IbnMascudBaghawi.Tafsir', '0845Maqrizi.KhabarCanBashar', '0808MuhammadDamiri.HayatHayawanKubra', '0856IbnDawudHanbali.KanzAkbar', '0494HakimJushami.TahdhibFiTafsir', '0982IbnMuhammadAbuSucud.IrshadCaqlSalim', '0685NasirDinBaydawi.AnwarTanzil', '0710IbnAhmadHafizDinNasafi.Tafsir', '0360Tabarani.TafsirKabir', '0360Tabarani.Tafsir', '0538JarAllahZamakhshari.Kashshaf', '0327IbnAbiHatimRazi.Tafsir', '0373AbuLaythSamarqandi.BahrCulum', '0682ZakariyaQazwini.AtharBilad', '0211CabdRazzaqSancani.Tafsir', '0458Bayhaqi.AhkamQuranLiShafici', '0548Shahrastani.MafatihAsrar', '0204Shafici.TafsirShafici', '0850Acqam.Tafsir', '0520IbnWalidTurtushi.Hawadith', '0204Shafici.AhkamQuran', '0281IbnAbiDunya.Cuqubat']"
183,425,2,"['0736IbnDawadari.KanzDurar', '0600PseudoMascudi.AkhbarZaman']"
184,426,2,"['0845Maqrizi.Muqaffa', '0626YaqutHamawi.MucjamBuldan']"
185,427,2,"['0745AbuHayyanGharnati.TafsirBahrMuhit', '0930IbnIyas.NuzhatUmam']"
186,431,1,['0900IbnCabdMuncimHimyari.RawdMictar']
187,434,1,['0930IbnIyas.NuzhatUmam']
188,436,1,['0930IbnIyas.NuzhatUmam']
189,437,0,[]
190,438,1,['0930IbnIyas.NuzhatUmam']
191,439,1,['0930IbnIyas.NuzhatUmam']
192,440,1,['0930IbnIyas.NuzhatUmam']
193,441,0,[]
194,442,1,['0930IbnIyas.NuzhatUmam']
195,445,0,[]
196,446,1,['0930IbnIyas.NuzhatUmam']
197,447,2,"['0900IbnCabdMuncimHimyari.RawdMictar', '0257IbnCabdHakam.FutuhMisr']"
198,448,0,[]
199,449,0,[]
200,450,0,[]
201,451,1,['0845Maqrizi.Muqaffa']
202,455,2,"['0748Adfuwi.TalicSacid', '0845Maqrizi.Bayan']"
203,456,2,"['0845Maqrizi.Muqaffa', '0930IbnIyas.NuzhatUmam']"
204,458,1,['0845Maqrizi.Bayan']
205,459,0,[]
206,460,0,[]
207,461,0,[]
208,463,0,[]
209,464,2,"['0930IbnIyas.NuzhatUmam', '0614IbnJubayr.Rihla']"
210,465,2,"['0930IbnIyas.NuzhatUmam', '0614IbnJubayr.Rihla']"
211,466,3,"['0748Adfuwi.TalicSacid', '0930IbnIyas.BadaicZuhur', '0930IbnIyas.NuzhatUmam']"
212,469,1,['0930IbnIyas.NuzhatUmam']
213,472,1,['0775IbnAbiWafa.JawahirMudiya']
214,474,2,"['0845Maqrizi.ItticazHunafa', '0420Musabbihi.AkhbarMisr']"
215,483,2,"['0749IbnFadlAllahCumari.MasalikAbsar', '0367IbnHawqal.SuratArd']"
216,490,3,"['0626YaqutHamawi.MucjamBuldan', '0930IbnIyas.NuzhatUmam', '0350MuhammadKindi.WulatMisr']"
217,491,2,"['0845Maqrizi.ItticazHunafa', '0930IbnIyas.NuzhatUmam']"
218,492,1,['0930IbnIyas.NuzhatUmam']
219,493,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
220,494,5,"['0845Maqrizi.Suluk', '0630IbnAthirCizzDin.Kamil', '0808IbnKhaldun.Tarikh', '0807IbnFurat.TarikhDuwal', '0697IbnWasil.MufarrijKurub']"
221,495,8,"['0733Nuwayri.NihayatArab', '0947BamakhramaHimyari.QiladatNahr', '0768Yafici.MiratJinan', '0764Safadi.WafiBiWafayat', '0845Maqrizi.Suluk', '0681IbnKhallikan.WafayatAcyan', '0726Yunini.DhaylMiratZaman', '0807IbnFurat.TarikhDuwal']"
222,496,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
223,498,1,['0845Maqrizi.Suluk']
224,499,6,"['0845Maqrizi.Suluk', '0630IbnAthirCizzDin.Kamil', '0749IbnFadlAllahCumari.MasalikAbsar', '0749ZaynDinIbnWardi.Tarikh', '0697IbnWasil.MufarrijKurub', '0927Culaymi.UnsJalil']"
225,500,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
226,501,2,"['0845Maqrizi.Suluk', '0809IbnDuqmaq.NuzhatAnam']"
227,502,3,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam', '0809IbnDuqmaq.NuzhatAnam']"
228,503,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
229,504,1,['0845Maqrizi.Suluk']
230,505,1,['0845Maqrizi.Suluk']
231,506,1,['0845Maqrizi.Suluk']
232,507,3,"['0845Maqrizi.Suluk', '0845Maqrizi.Muqaffa', '0726Yunini.DhaylMiratZaman']"
233,509,3,"['0845Maqrizi.Suluk', '0874IbnTaghribirdi.NujumZahira', '0930IbnIyas.NuzhatUmam']"
234,511,2,"['0902Sakhawi.DawLamic', '0930IbnIyas.NuzhatUmam']"
235,512,1,['0930IbnIyas.NuzhatUmam']
236,513,1,['0930IbnIyas.NuzhatUmam']
237,514,0,[]
238,515,1,['0930IbnIyas.NuzhatUmam']
239,516,1,['0930IbnIyas.NuzhatUmam']
240,517,1,['0930IbnIyas.NuzhatUmam']
241,518,2,"['0930IbnIyas.NuzhatUmam', '0300IbnKhurdadhbih.MasalikWaMamalik']"
242,519,2,"['0845Maqrizi.Suluk', '0930IbnIyas.NuzhatUmam']"
243,520,4,"['0671AbuCabdAllahQurtubi.JamicLiAhkamQuran', '0845Maqrizi.KhabarCanBashar', '0346Mascudi.MurujDhahab', '0548Shahrastani.MilalWaNihal']"
244,522,6,"['0733Nuwayri.NihayatArab', '0668IbnAbiUsaybica.CuyunAnba', '0687Shahrazuri.NuzhatArwah', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman', '0275AnonTranslator.HayatFithaghuras']"
245,528,12,"['0764Safadi.WafiBiWafayat', '0845Maqrizi.Suluk', '0815Ghuzuli.MatalicBudur', '0774IbnKathir.Bidaya', '0654SibtIbnJawzi.MiratZaman', '0749IbnFadlAllahCumari.MasalikAbsar', '0874IbnTaghribirdi.NujumZahira', '0726Yunini.DhaylMiratZaman', '0692IbnCabdZahir.RawdZahir', '0764IbnShakirKutubi.FawatWafayat', '0930IbnIyas.NuzhatUmam', '0730ShaficIbnCali.HusnManaqib']"
