,ms,reuser_count,reusers
0,1,2,"['0845Maqrizi.MusawwadatMawaciz', '0930IbnIyas.NuzhatUmam']"
1,2,1,['0845Maqrizi.MusawwadatMawaciz']
2,3,6,"['0845Maqrizi.MusawwadatMawaciz', '0902Sakhawi.DawLamic', '0845Maqrizi.DurarCuqud', '0487AbuCubaydBakri.TanbihCalaAwham', '0487AbuCubaydBakri.SimtLaaliFiSharhAmali', '0356AbuCaliQali.AmaliFiLugha']"
3,4,1,['0845Maqrizi.MusawwadatMawaciz']
4,5,2,"['0845Maqrizi.MusawwadatMawaciz', '0845Maqrizi.KhabarCanBashar']"
5,6,1,['0845Maqrizi.MusawwadatMawaciz']
6,7,1,['0845Maqrizi.MusawwadatMawaciz']
7,9,2,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar']"
8,10,1,['0375IkhwanSafa.Rasail']
9,11,1,['0375IkhwanSafa.Rasail']
10,16,4,"['0749IbnFadlAllahCumari.MasalikAbsar', '0626YaqutHamawi.MucjamBuldan', '0845Maqrizi.KhabarCanBashar', '0375IkhwanSafa.Rasail']"
11,17,4,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar', '0375IkhwanSafa.Rasail', '0930IbnIyas.NuzhatUmam']"
12,21,4,"['0845Maqrizi.KhabarCanBashar', '0375IkhwanSafa.Rasail', '0930IbnIyas.NuzhatUmam', '0292Yacqubi.Tarikh']"
13,23,10,"['0597IbnJawzi.Muntazam', '0654SibtIbnJawzi.MiratZaman', '0626YaqutHamawi.MucjamBuldan', '0845Maqrizi.KhabarCanBashar', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0300IbnRusta.AclaqNafisa', '0355IbnQass.DalailQibla', '0597IbnJawzi.TanwirGhabash', '0383IbnCabbasKhwarizmi.MufidCulum']"
14,24,2,"['0845Maqrizi.KhabarCanBashar', '0218HajjajIbnYusufIbnMatar.Majisti']"
15,25,8,"['0660IbnCadim.BughyatTalab', '0597IbnJawzi.Muntazam', '0654SibtIbnJawzi.MiratZaman', '0845Maqrizi.KhabarCanBashar', '0400IbnTahirMaqdisi.BadWaTarikh', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0300IbnRusta.AclaqNafisa']"
16,26,1,['0845Maqrizi.KhabarCanBashar']
17,27,2,"['0845Maqrizi.KhabarCanBashar', '0360HamzaIsfahani.TarikhSini']"
18,28,1,['0375AnonymousTranslator.TarikhCalamUrusiyus']
