,begin,begin2,end,end2,seq,seq2,book,book2
19,374,39,919,796,2131,1399,0845Maqrizi.Mawaciz,0660IbnCadim.BughyatTalab
22,473,982,811,1427,2131,1584,0845Maqrizi.Mawaciz,0660IbnCadim.BughyatTalab
26,383,79,906,769,2131,336,0845Maqrizi.Mawaciz,0660IbnCadim.BughyatTalab
29,130,577,710,1424,2131,1499,0845Maqrizi.Mawaciz,0660IbnCadim.BughyatTalab
180,107,1335,290,1513,2129,282,0845Maqrizi.Mawaciz,0845Maqrizi.Muqaffa
205,462,872,1156,1399,2131,2042,0845Maqrizi.Mawaciz,0845Maqrizi.Muqaffa
285,345,242,932,666,2131,1008,0845Maqrizi.Mawaciz,0845Maqrizi.Muqaffa
