,start,end,intensity,type,label
0,0,100,0,annotation,### | ذكر بساتين الوزير
0,100,101,2,reuse,
1,101,103,3,reuse,
2,103,105,3,reuse,
3,105,116,3,reuse,
4,116,120,1,reuse,
5,120,122,2,reuse,
6,122,138,2,reuse,
7,138,160,2,reuse,
8,161,165,2,reuse,
9,165,167,3,reuse,
10,167,178,1,reuse,
11,178,182,3,reuse,
12,182,188,3,reuse,
13,188,189,1,reuse,
14,189,190,2,reuse,
15,190,193,2,reuse,
16,193,195,2,reuse,
17,195,196,3,reuse,
18,196,207,3,reuse,
19,207,210,2,reuse,
20,210,211,1,reuse,
21,211,213,1,reuse,
22,213,214,1,reuse,
23,217,220,2,reuse,
24,220,229,2,reuse,
25,229,231,1,reuse,
26,231,233,2,reuse,
27,233,234,3,reuse,
28,234,235,2,reuse,
29,235,237,3,reuse,
30,237,239,3,reuse,
31,239,240,2,reuse,
32,240,244,2,reuse,
33,244,248,2,reuse,
34,258,266,2,reuse,
35,266,267,2,reuse,
36,273,274,2,reuse,
37,274,304,2,reuse,
38,304,305,2,reuse,
39,305,306,1,reuse,
40,313,317,1,reuse,
41,317,327,2,reuse,
42,327,330,2,reuse,
43,331,334,2,reuse,
44,334,335,3,reuse,
45,335,356,2,reuse,
46,356,358,2,reuse,
47,358,368,2,reuse,
48,368,369,1,reuse,
49,369,370,2,reuse,
50,370,371,2,reuse,
51,371,372,2,reuse,
52,372,373,1,reuse,
53,373,374,2,reuse,
54,374,376,3,reuse,
55,376,381,1,reuse,
56,381,387,2,reuse,
57,395,397,2,reuse,
58,397,398,3,reuse,
59,398,400,3,reuse,
60,400,404,3,reuse,
61,404,405,3,reuse,
62,405,406,2,reuse,
63,412,413,2,reuse,
64,413,418,2,reuse,
65,418,422,2,reuse,
66,422,431,2,reuse,
67,431,434,2,reuse,
68,434,435,2,reuse,
69,435,439,2,reuse,
70,439,444,2,reuse,
71,444,446,2,reuse,
72,446,447,1,reuse,
73,447,452,1,reuse,
74,452,454,1,reuse,
75,454,458,2,reuse,
76,458,467,2,reuse,
77,467,469,2,reuse,
78,470,472,2,reuse,
79,472,473,3,reuse,
80,473,477,1,reuse,
81,484,487,2,reuse,
82,487,489,2,reuse,
83,489,493,2,reuse,
84,493,495,2,reuse,
85,495,497,2,reuse,
86,497,500,3,reuse,
87,500,503,2,reuse,
88,503,508,1,reuse,
89,508,509,2,reuse,
90,509,510,2,reuse,
91,510,511,2,reuse,
92,511,512,2,reuse,
93,512,513,3,reuse,
94,513,516,3,reuse,
95,516,519,2,reuse,
96,520,527,2,reuse,
97,527,534,1,reuse,
98,534,537,1,reuse,
99,537,539,1,reuse,
100,539,543,2,reuse,
101,543,545,2,reuse,
102,545,549,2,reuse,
103,549,552,2,reuse,
104,552,553,2,reuse,
105,553,557,2,reuse,
106,557,561,2,reuse,
107,561,570,2,reuse,
108,570,573,2,reuse,
109,573,574,2,reuse,
110,574,578,2,reuse,
111,578,581,2,reuse,
112,581,582,2,reuse,
113,582,584,1,reuse,
114,584,585,3,reuse,
115,585,586,3,reuse,
116,586,590,3,reuse,
117,590,592,3,reuse,
118,592,593,2,reuse,
119,593,597,3,reuse,
120,597,606,3,reuse,
121,606,609,3,reuse,
122,609,610,2,reuse,
123,611,615,2,reuse,
124,615,616,1,reuse,
125,616,618,3,reuse,
126,618,619,1,reuse,
127,619,620,1,reuse,
128,620,627,1,reuse,
129,627,629,2,reuse,
130,629,632,2,reuse,
131,632,635,1,reuse,
132,635,638,1,reuse,
133,638,639,1,reuse,
134,639,642,1,reuse,
135,642,643,1,reuse,
136,645,646,1,reuse,
137,646,648,2,reuse,
138,648,649,2,reuse,
139,649,650,1,reuse,
140,650,652,1,reuse,
141,652,655,2,reuse,
142,655,656,2,reuse,
143,657,660,2,reuse,
144,660,662,2,reuse,
145,662,668,2,reuse,
146,668,671,1,reuse,
147,671,678,1,reuse,
148,678,680,1,reuse,
149,680,681,2,reuse,
150,681,683,3,reuse,
151,683,684,2,reuse,
152,684,685,2,reuse,
153,685,686,2,reuse,
154,686,688,1,reuse,
155,691,696,1,reuse,
156,696,699,2,reuse,
157,699,701,2,reuse,
158,701,704,3,reuse,
159,704,712,3,reuse,
160,712,715,2,reuse,
161,715,720,2,reuse,
162,720,721,1,reuse,
163,722,723,2,reuse,
164,723,725,3,reuse,
165,725,726,3,reuse,
166,726,729,3,reuse,
167,729,730,3,reuse,
168,730,732,1,reuse,
169,732,740,2,reuse,
170,740,747,2,reuse,
171,747,1650,1,reuse,
172,1650,1672,1,reuse,
173,1672,1673,1,reuse,
174,1676,1678,1,reuse,
175,1678,1722,1,reuse,
176,1723,1752,1,reuse,
177,1752,1758,1,reuse,
178,1758,1761,1,reuse,
179,1761,1762,1,reuse,
180,1762,1765,1,reuse,
181,1765,1766,1,reuse,
182,1766,1772,1,reuse,
183,1772,1773,1,reuse,
184,1778,1786,1,reuse,
185,1786,1790,1,reuse,
186,1790,1795,1,reuse,
187,1795,1804,1,reuse,
188,1804,1822,1,reuse,
189,1822,1828,1,reuse,
190,1828,1832,1,reuse,
191,1832,1845,1,reuse,
192,1845,1847,1,reuse,
193,1849,1850,1,reuse,
194,1850,1854,1,reuse,
195,1858,1862,1,reuse,
196,1862,1863,1,reuse,
197,1863,1868,1,reuse,
198,1868,1877,1,reuse,
199,1877,1880,1,reuse,
200,1880,1881,1,reuse,
201,1881,1885,1,reuse,
202,1885,1886,1,reuse,
203,1886,1889,1,reuse,
204,1889,1892,1,reuse,
205,1892,1895,1,reuse,
206,1895,1900,1,reuse,
207,1900,1901,1,reuse,
208,1903,1941,1,reuse,
209,1941,1966,1,reuse,
210,3282,3284,6,reuse,
211,3284,3285,6,reuse,
212,3285,3287,5,reuse,
213,3287,3288,5,reuse,
214,3288,3289,6,reuse,
215,3289,3290,6,reuse,
216,3290,3291,6,reuse,
217,3291,3292,5,reuse,
218,3292,3293,5,reuse,
219,3293,3294,4,reuse,
220,3294,3295,2,reuse,
221,3295,3296,1,reuse,
222,3296,3297,1,reuse,
223,3297,3300,1,reuse,
224,3300,3301,3,reuse,
225,3301,3302,3,reuse,
226,3302,3303,4,reuse,
227,3303,3304,4,reuse,
228,3304,3307,3,reuse,
229,3307,3310,3,reuse,
230,3310,3311,2,reuse,
231,3311,3313,3,reuse,
232,3313,3314,3,reuse,
233,3314,3315,3,reuse,
234,3315,3316,2,reuse,
235,3316,3318,3,reuse,
236,3318,3319,4,reuse,
237,3319,3320,4,reuse,
238,3320,3321,4,reuse,
239,3321,3323,4,reuse,
240,3323,3324,5,reuse,
241,3324,3325,4,reuse,
242,3325,3326,3,reuse,
243,3326,3328,4,reuse,
244,3328,3329,4,reuse,
245,3329,3330,5,reuse,
246,3330,3332,4,reuse,
247,3332,3333,4,reuse,
248,3333,3334,5,reuse,
249,3334,3335,4,reuse,
250,3335,3336,4,reuse,
251,3336,3337,5,reuse,
252,3337,3338,4,reuse,
253,3338,3339,4,reuse,
254,3339,3340,6,reuse,
255,3340,3341,6,reuse,
256,3341,3342,4,reuse,
257,3342,3344,3,reuse,
258,3344,3346,3,reuse,
259,3346,3347,4,reuse,
260,3347,3348,4,reuse,
261,3348,3349,4,reuse,
262,3349,3350,4,reuse,
263,3350,3351,4,reuse,
264,3351,3352,4,reuse,
265,3352,3355,4,reuse,
266,3355,3356,3,reuse,
267,3356,3358,2,reuse,
268,3358,3359,3,reuse,
269,3359,3363,3,reuse,
270,3363,3364,3,reuse,
271,3364,3366,4,reuse,
272,3366,3367,3,reuse,
273,3367,3368,4,reuse,
274,3368,3370,4,reuse,
275,3370,3371,4,reuse,
276,3371,3373,3,reuse,
277,3373,3374,1,reuse,
278,3374,3375,2,reuse,
279,3375,3376,4,reuse,
280,3376,3377,3,reuse,
281,3377,3378,3,reuse,
282,3378,3379,2,reuse,
283,3379,3380,3,reuse,
284,3380,3381,3,reuse,
285,3381,3382,2,reuse,
286,3382,3383,3,reuse,
287,3383,3385,4,reuse,
288,3385,3386,4,reuse,
289,3386,3387,3,reuse,
290,3387,3390,3,reuse,
291,3390,3391,2,reuse,
292,3391,3392,3,reuse,
293,3392,3393,3,reuse,
294,3393,3394,3,reuse,
295,3394,3398,3,reuse,
296,3398,3400,4,reuse,
297,3400,3401,3,reuse,
298,3401,3402,3,reuse,
299,3402,3403,4,reuse,
300,3403,3404,2,reuse,
301,3404,3405,3,reuse,
302,3405,3406,2,reuse,
303,3406,3407,2,reuse,
304,3407,3408,2,reuse,
305,3408,3409,3,reuse,
306,3409,3410,3,reuse,
307,3410,3411,3,reuse,
308,3411,3412,2,reuse,
309,3412,3414,3,reuse,
310,3414,3415,3,reuse,
311,3415,3418,1,reuse,
312,3418,3419,2,reuse,
313,3419,3422,2,reuse,
314,3422,3423,3,reuse,
315,3423,3424,2,reuse,
316,3424,3425,3,reuse,
317,3425,3429,3,reuse,
318,3429,3430,2,reuse,
319,3430,3431,1,reuse,
320,3434,3436,2,reuse,
321,3436,3438,3,reuse,
322,3438,3439,2,reuse,
323,3439,3440,2,reuse,
324,3440,3441,2,reuse,
325,3441,3442,2,reuse,
326,3442,3443,1,reuse,
327,3443,3444,1,reuse,
