,section,book,start,end,first_ms,book2,ms2,section2
35,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,413,419,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
36,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,420,427,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
37,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,439,443,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
38,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,457,461,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
39,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,470,473,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
40,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,474,485,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
41,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,486,493,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
42,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,493,497,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
43,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,497,506,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
44,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,506,511,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
45,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,511,516,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
46,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,516,520,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
47,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,545,548,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
48,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,580,583,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
49,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,596,599,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
50,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,601,604,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
51,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,623,629,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
52,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,0,3,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
53,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,5,16,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
54,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,20,22,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
55,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,22,38,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
56,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,38,60,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
57,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,61,82,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
58,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,89,93,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
59,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,93,107,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
60,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,107,113,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
61,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,113,114,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
62,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,117,120,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
63,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,131,139,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
64,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,139,140,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
65,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,140,144,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
66,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,144,204,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
67,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,204,206,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
68,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,217,227,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
69,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,234,235,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
70,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,235,287,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
71,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,297,305,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
72,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,305,306,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
73,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,312,313,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
