,start,end,intensity,type,label
0,0,100,0,annotation,### ||| فصل
0,1683,1684,2,reuse,
1,1684,1686,2,reuse,
2,1686,1688,2,reuse,
3,1688,1689,1,reuse,
4,1689,1693,2,reuse,
5,1693,1694,2,reuse,
6,1694,1695,1,reuse,
7,1695,1696,1,reuse,
8,1699,1700,2,reuse,
9,1700,1702,2,reuse,
10,1702,1703,2,reuse,
11,1703,1705,3,reuse,
12,1705,1712,1,reuse,
13,1712,1714,1,reuse,
14,1714,1715,2,reuse,
15,1715,1717,2,reuse,
16,1717,1721,1,reuse,
17,1721,1724,1,reuse,
18,1724,1725,2,reuse,
19,1725,1727,2,reuse,
20,1727,1729,1,reuse,
21,1730,1736,1,reuse,
22,1736,1744,1,reuse,
23,1749,1758,1,reuse,
24,1758,1759,2,reuse,
25,1759,1763,1,reuse,
26,1763,1766,2,reuse,
27,1766,1767,2,reuse,
28,1767,1768,2,reuse,
29,1768,1769,1,reuse,
30,1769,1770,2,reuse,
31,1770,1792,3,reuse,
32,1792,1793,3,reuse,
33,1793,1796,1,reuse,
34,1796,1799,3,reuse,
35,1799,1800,3,reuse,
36,1800,1802,3,reuse,
37,1802,1803,3,reuse,
38,1803,1806,2,reuse,
39,1810,1813,1,reuse,
40,1813,1815,2,reuse,
41,1815,1816,1,reuse,
42,1816,1817,1,reuse,
43,1817,1823,1,reuse,
44,1823,1824,1,reuse,
45,1827,1829,1,reuse,
46,1829,1831,3,reuse,
47,1831,1834,2,reuse,
48,1834,1837,2,reuse,
49,1837,1838,2,reuse,
50,1841,1842,1,reuse,
51,1842,1845,1,reuse,
52,1845,1847,1,reuse,
53,1847,1848,1,reuse,
54,1848,1851,2,reuse,
55,1851,1852,3,reuse,
56,1852,1855,2,reuse,
57,1855,1856,2,reuse,
58,1856,1873,2,reuse,
59,1873,1875,1,reuse,
60,1875,1880,2,reuse,
61,1880,1892,2,reuse,
62,1892,1893,1,reuse,
63,1893,1894,1,reuse,
64,1895,1897,2,reuse,
65,1897,1905,1,reuse,
66,1905,1909,1,reuse,
67,1909,1919,1,reuse,
68,1920,1925,2,reuse,
69,1925,1926,2,reuse,
70,1926,1944,2,reuse,
71,1944,1945,2,reuse,
72,1945,1946,1,reuse,
73,1946,1948,1,reuse,
74,1948,1949,2,reuse,
75,1949,1951,2,reuse,
76,1951,1952,1,reuse,
77,1952,1953,2,reuse,
78,1954,1955,2,reuse,
79,1955,1959,2,reuse,
80,1959,1966,2,reuse,
81,1966,1973,2,reuse,
82,1973,1974,1,reuse,
83,1974,1977,1,reuse,
