,begin,begin2,end,end2,seq,seq2,book,book2
6,1226,238,1488,584,287,1521,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
14,1150,109,1533,587,299,723,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
20,1211,1,1558,400,275,732,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
58,1,602,391,1103,287,1519,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
81,392,144,1445,1538,299,92,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
88,1239,648,1454,906,271,717,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
90,1168,1,1579,530,274,731,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
92,226,595,1265,1364,278,734,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
111,877,1,1521,601,286,1519,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
115,744,564,1536,1414,276,733,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
130,200,19,1187,1582,284,1516,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
141,1297,309,1567,596,283,1718,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
148,12,597,606,1424,274,1882,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
151,6,597,460,1232,284,1718,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
172,4,580,621,1382,300,723,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
175,138,915,665,1480,273,718,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
184,788,467,1553,1073,273,719,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
195,1,531,1084,1595,275,731,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
229,1194,1,1541,384,284,1517,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
240,106,800,643,1496,279,1521,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
253,821,82,1037,387,277,734,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
268,898,1,1586,697,285,1518,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
278,4,380,898,1525,285,1517,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
281,568,1302,763,1529,274,719,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
284,477,614,887,1262,275,1521,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
295,643,1,1135,607,279,1522,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
318,420,1162,602,1373,283,2025,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
330,1,698,867,1590,286,1518,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
384,434,2,1079,541,334,2460,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
424,468,1,1155,529,334,110,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
75,1,286,1418,1269,1404,1600,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
79,301,6,1344,785,1399,2928,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
125,1218,238,1466,452,1405,1600,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
170,474,312,1145,872,1399,1600,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
183,802,220,1265,557,1403,1600,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
252,728,3,1232,426,1406,1600,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
262,785,47,1431,528,1401,1600,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa
76,1,1,561,696,2058,933,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
115,943,14,1418,684,2056,2365,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
180,697,282,1444,1353,2052,3217,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
217,1251,1,1509,288,2055,3028,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
341,523,697,1018,1348,2058,933,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
371,634,434,1503,1467,2057,932,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
413,1080,192,1589,867,2053,3797,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
