,begin,begin2,end,end2,seq,seq2,book,book2
34,580,292,1512,1091,1961,2134,0660IbnCadim.BughyatTalab,0845Maqrizi.Mawaciz
10,924,525,1613,1231,1362,2134,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
187,111,582,865,1437,1376,2134,0845Maqrizi.Muqaffa,0845Maqrizi.Mawaciz
32,877,1,1572,713,1370,2117,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
138,14,71,1105,1243,1365,1704,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
168,375,938,877,1535,1370,2116,0845Maqrizi.Muqaffa,0660IbnCadim.BughyatTalab
