,start,end,intensity,type,label
0,0,100,0,annotation,None found
0,100,101,1,reuse,
1,101,102,1,reuse,
2,102,103,2,reuse,
3,103,105,1,reuse,
4,106,114,1,reuse,
5,114,115,1,reuse,
6,115,116,1,reuse,
7,116,121,1,reuse,
8,121,129,1,reuse,
9,129,131,2,reuse,
10,132,135,1,reuse,
11,135,138,1,reuse,
12,138,139,1,reuse,
13,139,142,2,reuse,
14,142,143,1,reuse,
15,143,148,2,reuse,
16,148,149,2,reuse,
17,149,156,2,reuse,
18,156,157,2,reuse,
19,157,158,1,reuse,
20,158,161,2,reuse,
21,161,162,2,reuse,
22,162,163,1,reuse,
23,164,174,1,reuse,
24,174,175,2,reuse,
25,178,180,1,reuse,
26,180,181,2,reuse,
27,181,186,2,reuse,
28,186,188,1,reuse,
29,188,191,1,reuse,
30,191,192,2,reuse,
31,192,193,1,reuse,
32,193,194,1,reuse,
33,194,195,1,reuse,
34,197,198,1,reuse,
35,198,199,1,reuse,
36,199,200,1,reuse,
37,201,202,1,reuse,
38,204,205,2,reuse,
39,205,215,2,reuse,
40,215,220,2,reuse,
41,220,221,1,reuse,
42,221,224,1,reuse,
43,224,227,1,reuse,
44,227,230,1,reuse,
45,231,240,1,reuse,
46,240,246,1,reuse,
47,246,248,1,reuse,
48,254,262,1,reuse,
49,262,263,1,reuse,
50,264,297,2,reuse,
51,297,319,2,reuse,
52,319,321,2,reuse,
53,321,322,2,reuse,
54,322,333,2,reuse,
55,333,335,2,reuse,
56,339,343,1,reuse,
57,343,344,1,reuse,
58,344,345,1,reuse,
59,345,348,1,reuse,
60,351,354,1,reuse,
61,354,356,1,reuse,
62,358,361,1,reuse,
63,361,362,1,reuse,
64,362,363,1,reuse,
65,369,375,1,reuse,
66,375,376,2,reuse,
67,380,381,1,reuse,
68,381,386,2,reuse,
69,386,387,2,reuse,
70,387,390,1,reuse,
71,390,396,1,reuse,
72,396,403,1,reuse,
73,403,410,1,reuse,
74,416,418,1,reuse,
75,418,420,1,reuse,
76,420,421,1,reuse,
77,421,425,1,reuse,
78,425,447,1,reuse,
79,447,464,2,reuse,
80,464,466,1,reuse,
81,467,469,2,reuse,
82,469,481,2,reuse,
83,481,483,2,reuse,
84,483,486,1,reuse,
85,486,487,2,reuse,
86,487,489,2,reuse,
87,489,490,2,reuse,
88,490,491,2,reuse,
89,491,498,2,reuse,
90,498,499,1,reuse,
91,499,500,1,reuse,
92,500,509,2,reuse,
93,509,518,1,reuse,
94,525,528,1,reuse,
95,528,530,1,reuse,
96,530,533,1,reuse,
97,533,537,1,reuse,
98,537,539,1,reuse,
99,539,540,1,reuse,
100,540,557,2,reuse,
