,section,book,start,end,first_ms,book2,ms2,section2,rid
2615,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,87,91,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2616,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,91,92,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2617,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,92,93,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2618,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,93,94,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2619,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,94,102,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2620,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,102,110,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2621,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,111,117,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2622,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,119,124,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2623,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,151,152,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2624,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,152,156,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2625,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,164,167,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
