,start,end,intensity,type,label
0,0,100,0,annotation,None found
0,100,115,1,reuse,
1,115,128,1,reuse,
2,128,130,1,reuse,
3,130,135,1,reuse,
4,135,147,1,reuse,
5,147,148,1,reuse,
6,151,154,1,reuse,
7,154,155,1,reuse,
8,158,161,1,reuse,
9,161,162,1,reuse,
10,162,166,1,reuse,
11,178,181,1,reuse,
12,181,186,1,reuse,
13,186,200,1,reuse,
14,200,214,1,reuse,
15,214,216,1,reuse,
16,216,221,1,reuse,
17,225,232,1,reuse,
18,232,234,1,reuse,
19,234,239,1,reuse,
20,239,241,1,reuse,
21,255,305,1,reuse,
22,305,307,1,reuse,
23,318,319,1,reuse,
24,319,331,1,reuse,
25,331,340,1,reuse,
26,340,344,1,reuse,
27,345,355,1,reuse,
28,355,356,1,reuse,
29,359,362,1,reuse,
30,362,366,1,reuse,
31,366,373,1,reuse,
32,373,377,1,reuse,
33,377,384,1,reuse,
34,384,386,1,reuse,
35,386,407,1,reuse,
36,407,408,1,reuse,
37,413,418,1,reuse,
38,418,420,1,reuse,
39,420,422,1,reuse,
40,422,427,1,reuse,
41,427,434,1,reuse,
42,434,469,1,reuse,
