,section,book,start,end,first_ms,book2,ms2,section2
0,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,115,119,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
1,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,119,122,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
2,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,122,125,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
3,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,125,126,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
4,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,126,129,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
5,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,142,146,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
6,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,146,149,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
7,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,176,181,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
8,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,182,186,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
9,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,226,230,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
10,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,232,243,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
11,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,247,249,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
12,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,249,265,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
13,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,265,287,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
14,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,288,309,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
15,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,316,334,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
16,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,334,340,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
17,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,344,347,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
18,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,358,366,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
19,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,366,367,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
20,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,367,371,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
21,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,371,431,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
22,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,431,433,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
23,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,444,454,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
24,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,461,462,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
25,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,462,495,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
26,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,495,499,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
27,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,499,500,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
28,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,501,503,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
29,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,503,514,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
30,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,524,532,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
31,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,532,533,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
32,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,539,540,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
33,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,540,571,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
34,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,571,573,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
35,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,573,574,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
36,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,574,596,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
37,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,597,600,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
38,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,622,624,1467,0660IbnCadim.BughyatTalab,1959,### $ الحسين بن علي بن الحسين
