,start,end,intensity,type,label
0,0,100,0,annotation,### $BIO_MAN$ 
0,1625,1656,1,reuse,
1,1656,1657,1,reuse,
2,1663,1666,1,reuse,
3,1666,1676,1,reuse,
4,1676,1687,1,reuse,
5,1687,1694,1,reuse,
6,1694,1712,1,reuse,
7,1713,1720,1,reuse,
8,1720,1734,1,reuse,
9,1734,1737,1,reuse,
10,1742,1767,1,reuse,
11,1767,1771,1,reuse,
12,1773,1777,1,reuse,
13,1777,1785,1,reuse,
14,1786,1791,1,reuse,
15,1791,1792,1,reuse,
16,1792,1797,1,reuse,
17,1797,1805,1,reuse,
18,1806,1814,1,reuse,
19,1814,1817,1,reuse,
20,1820,1823,1,reuse,
21,1823,1858,1,reuse,
22,1858,1885,1,reuse,
23,1886,1939,1,reuse,
24,1939,1946,1,reuse,
25,1946,1958,1,reuse,
26,1958,1960,1,reuse,
27,1960,1963,1,reuse,
28,1963,1964,1,reuse,
29,1964,1967,1,reuse,
30,1967,1978,1,reuse,
31,1979,2014,1,reuse,
32,2014,2016,1,reuse,
33,2020,2024,1,reuse,
34,2024,2072,1,reuse,
35,2072,2119,1,reuse,
36,2122,2125,1,reuse,
37,2125,2138,1,reuse,
38,2138,2144,1,reuse,
39,2144,2149,1,reuse,
40,2149,2168,1,reuse,
41,2168,2173,1,reuse,
42,2173,2227,1,reuse,
