,start,end,intensity,type,label
0,0,100,0,annotation,### | AUTO المقامة الثامنة والأربعون وتعرف بالحرامية
0,6796,6799,1,reuse,
1,6799,6803,1,reuse,
2,6803,6808,1,reuse,
3,6808,6811,1,reuse,
4,6811,6814,1,reuse,
5,6814,6816,1,reuse,
6,6816,6820,1,reuse,
7,6820,6824,1,reuse,
8,6824,6827,1,reuse,
9,6827,6842,1,reuse,
10,6842,6846,1,reuse,
11,6846,6864,1,reuse,
12,6864,6868,1,reuse,
13,6868,6883,1,reuse,
14,6883,6890,1,reuse,
15,6890,6903,1,reuse,
16,6903,6906,1,reuse,
17,6906,6936,1,reuse,
18,6936,6939,1,reuse,
19,6939,6949,1,reuse,
20,6949,6953,1,reuse,
21,6953,6966,1,reuse,
22,6966,6969,1,reuse,
23,6969,6972,1,reuse,
24,6972,6973,1,reuse,
25,6973,6975,1,reuse,
26,6975,6976,1,reuse,
27,6996,7000,1,reuse,
28,7000,7001,1,reuse,
29,7021,7022,1,reuse,
30,7022,7025,1,reuse,
31,7027,7030,1,reuse,
32,7030,7031,1,reuse,
33,7033,7036,1,reuse,
34,7036,7037,1,reuse,
35,7045,7048,1,reuse,
36,7048,7075,1,reuse,
37,7075,7078,1,reuse,
38,7078,7080,1,reuse,
39,7080,7084,1,reuse,
40,7084,7087,1,reuse,
41,7087,7090,1,reuse,
42,7090,7106,1,reuse,
43,7106,7110,1,reuse,
44,7110,7114,1,reuse,
45,7114,7119,1,reuse,
46,7119,7121,1,reuse,
47,7121,7122,1,reuse,
48,7122,7125,1,reuse,
49,7133,7136,1,reuse,
50,7136,7138,1,reuse,
51,7149,7152,1,reuse,
52,7152,7171,1,reuse,
53,7171,7175,1,reuse,
54,7175,7183,1,reuse,
55,7183,7184,1,reuse,
56,7184,7187,1,reuse,
57,7239,7243,1,reuse,
58,7243,8352,1,reuse,
59,8352,8355,1,reuse,
60,8355,8360,1,reuse,
61,8360,8363,1,reuse,
62,8363,8365,1,reuse,
63,8365,8366,1,reuse,
64,8366,8367,1,reuse,
65,8367,8370,1,reuse,
66,8374,8402,1,reuse,
67,8402,8403,1,reuse,
68,8406,8428,1,reuse,
69,8428,8462,1,reuse,
70,8462,8465,1,reuse,
71,8465,8466,1,reuse,
72,8466,8469,1,reuse,
73,8470,8471,1,reuse,
74,8471,8474,1,reuse,
75,8474,8477,1,reuse,
76,8477,8478,1,reuse,
77,8481,8485,1,reuse,
78,8485,8488,1,reuse,
79,8488,8493,1,reuse,
80,11515,11516,4,reuse,
81,11516,11518,5,reuse,
82,11518,11520,5,reuse,
83,11520,11521,6,reuse,
84,11521,11522,6,reuse,
85,11522,11523,3,reuse,
86,11523,11524,4,reuse,
87,11524,11527,2,reuse,
88,11527,11528,2,reuse,
89,11530,11531,2,reuse,
90,11531,11532,4,reuse,
91,11532,11533,4,reuse,
92,11533,11534,3,reuse,
93,11534,11535,3,reuse,
94,11535,11536,3,reuse,
95,11536,11537,3,reuse,
96,11537,11538,3,reuse,
97,11538,11539,4,reuse,
98,11539,11540,4,reuse,
99,11540,11543,5,reuse,
100,11543,11544,5,reuse,
101,11544,11545,4,reuse,
102,11545,11546,3,reuse,
103,11546,11549,2,reuse,
104,11549,11551,5,reuse,
105,11551,11553,5,reuse,
106,11553,11554,5,reuse,
107,11554,11555,4,reuse,
108,11555,11556,3,reuse,
109,11556,11557,3,reuse,
110,11557,11558,4,reuse,
111,11558,11559,5,reuse,
112,11559,11561,4,reuse,
113,11561,11562,3,reuse,
114,11562,11563,1,reuse,
115,11563,11565,1,reuse,
