,section,book,start,end,first_ms,book2,ms2,section2
792,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,57,61,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
793,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,61,91,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
794,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,105,118,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
795,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,119,128,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
796,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,128,133,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
797,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,133,147,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
798,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,148,151,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
799,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,151,153,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
800,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,153,154,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
801,### $ الوزير الأجل الكامل الأؤحد صفى أمير المؤمنين وحالصته أبو الفرج محمد بن جعفر المغريى,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,154,158,18,0845Maqrizi.Mawaciz,1467,### | ذكر بساتين الوزير
