,start,end,intensity,type,label
0,0,100,0,annotation,None found
0,100,105,2,reuse,
1,105,106,2,reuse,
2,106,107,2,reuse,
3,107,110,2,reuse,
4,110,112,2,reuse,
5,112,113,3,reuse,
6,113,114,2,reuse,
7,114,116,3,reuse,
8,116,117,4,reuse,
9,117,119,4,reuse,
10,119,122,3,reuse,
11,122,125,1,reuse,
12,125,128,3,reuse,
13,128,129,4,reuse,
14,129,131,4,reuse,
15,131,132,2,reuse,
16,132,133,1,reuse,
17,133,135,1,reuse,
18,135,136,2,reuse,
19,136,138,2,reuse,
20,138,140,3,reuse,
21,140,141,4,reuse,
22,141,143,3,reuse,
23,143,146,2,reuse,
24,146,147,2,reuse,
25,147,150,1,reuse,
26,150,151,2,reuse,
27,151,152,3,reuse,
28,152,153,4,reuse,
29,153,156,3,reuse,
30,156,157,3,reuse,
31,157,159,3,reuse,
32,159,160,2,reuse,
33,160,163,2,reuse,
34,163,168,2,reuse,
35,168,171,2,reuse,
36,171,174,2,reuse,
37,174,175,1,reuse,
38,175,177,4,reuse,
39,177,178,5,reuse,
40,178,179,5,reuse,
41,179,180,5,reuse,
42,180,182,6,reuse,
43,182,185,4,reuse,
44,185,194,4,reuse,
45,194,197,4,reuse,
46,197,198,4,reuse,
47,198,201,4,reuse,
48,201,209,4,reuse,
49,209,211,5,reuse,
50,213,215,1,reuse,
51,215,216,1,reuse,
52,216,224,1,reuse,
53,226,227,2,reuse,
54,227,231,2,reuse,
55,231,237,1,reuse,
56,237,242,1,reuse,
57,242,246,1,reuse,
58,246,251,1,reuse,
59,251,252,2,reuse,
60,252,273,2,reuse,
61,273,278,2,reuse,
62,278,279,5,reuse,
63,279,280,5,reuse,
64,280,286,5,reuse,
65,286,287,2,reuse,
66,287,292,3,reuse,
67,292,298,3,reuse,
68,298,301,3,reuse,
69,301,302,3,reuse,
70,302,303,2,reuse,
71,303,304,2,reuse,
72,304,307,3,reuse,
73,307,308,3,reuse,
74,308,309,4,reuse,
75,309,310,1,reuse,
76,310,312,1,reuse,
77,312,313,2,reuse,
78,313,314,2,reuse,
79,314,315,1,reuse,
80,315,316,1,reuse,
81,316,321,1,reuse,
82,321,323,2,reuse,
83,323,324,1,reuse,
84,324,327,1,reuse,
85,327,333,3,reuse,
86,333,335,3,reuse,
87,335,336,3,reuse,
88,336,337,2,reuse,
89,337,339,3,reuse,
90,339,344,3,reuse,
91,344,345,2,reuse,
92,345,350,2,reuse,
93,350,351,2,reuse,
94,351,355,3,reuse,
95,355,357,1,reuse,
96,357,361,1,reuse,
97,361,364,2,reuse,
98,364,365,2,reuse,
99,369,372,4,reuse,
100,372,373,4,reuse,
101,373,374,4,reuse,
102,374,380,3,reuse,
103,380,383,3,reuse,
104,383,385,3,reuse,
