word_3,word_2,word_1,book_1,book_2,book_3,book_4,book_5,row_id,cit,book_no,uri_other,word_start,word_end,extend,new_uri
أخبار,كتاب,في,0346Mascudi.MurujDhahab,,,,,518,1,,,,,5,
أسلم,بن,زيد,0257IbnCabdHakam.FutuhMisr,0930IbnIyas.NuzhatUmam,,,,78,1,,,,,5,
أسلم,بن,زيد,0346Mascudi.MurujDhahab,0930IbnIyas.NuzhatUmam,,,,79,,,,,,,
أصبح,حين,الإسكندر,0346Mascudi.MurujDhahab,,,,,433,0,,,,,,
أقتل,ذروني,فرعون,0347IbnYunusSadafi.Tarikh,0733Nuwayri.NihayatArab,0874IbnTaghribirdi.NujumZahira,0930IbnIyas.NuzhatUmam,,70,0,,,,,,
أقتل,ذروني,فرعون,0748Dhahabi.SiyarAclamNubala,0930IbnIyas.NuzhatUmam,,,,69,0,,,,,,
أقطاي,الأمير,له,0726Yunini.DhaylMiratZaman,,,,,1475,0,,,,,,
أمية,وبنو,العثمانية,0324Ashcari.MaqalatIslamiyyin,0728IbnTaymiyya.MinhajSunna,,,,1543,0,,,,,,
أن,المتوج,ابن,0692IbnCabdZahir.RawdaBahiyya,,,,,1236,1,,,1,2,,0820IbnMutawwaj
أن,بعد,لبعضهم,0588IbnMamun.AkhbarMisr,0845Maqrizi.MusawwadatMawaciz,,,,1099,0,,,,,,
أنس,عن,الزهري,0257IbnCabdHakam.FutuhMisr,0327AbuBakrKharaiti.IctilalQulub,,,,96,0,,,,,,
أنس,عن,الزهري,0257IbnCabdHakam.FutuhMisr,0717CabbasSafadi.NuzhatMalikWaMamluk,,,,94,,,,,,,
أنس,عن,الزهري,0257IbnCabdHakam.FutuhMisr,,,,,95.97,,,,,,,
أنه,أقول,ولا,0548Shahrastani.MilalWaNihal,0764Safadi.WafiBiWafayat,,,,1554.1555.1556.1557.1558,0,,,,,,
أهل,من,رجل,0200SayfIbnCumar.Fitna,0654SibtIbnJawzi.MiratZaman,,,,1517,0,,,,,,
أهل,من,رجل,0200SayfIbnCumar.Fitna,,,,,1516,,,,,,,
أهلها,من,شاب,0725BaybarsMansuri.TuhfaMulukiyya,0845Maqrizi.Suluk,,,,604,0,,,,,,
أهلها,من,شاب,0732AbuFida.MukhtasarFiAkhbar,0736IbnDawadari.KanzDurar,0845Maqrizi.Suluk,0855BadrDinCayni.CiqdJuman,,601,,,,,,,
أهلها,من,شاب,0736IbnDawadari.KanzDurar,0855BadrDinCayni.CiqdJuman,,,,602,,,,,,,
أهلها,من,شاب,0764IbnShakirKutubi.FawatWafayat,0764Safadi.WafiBiWafayat',0855BadrDinCayni.CiqdJuman,,,603,,,,,,,
أو,تحته,ليدفنن,0256Bukhari.TarikhKabir,0277IbnSufyanFasawi.MacrifaWaTarikh,,,,1664,0,,,,,,
أو,تحته,ليدفنن,0257IbnCabdHakam.FutuhMisr,0902Sakhawi.AjwibaMurdiyya,,,,1661,,,,,,,
أو,تحته,ليدفنن,0277IbnSufyanFasawi.MacrifaWaTarikh,0902Sakhawi.AjwibaMurdiyya,,,,1663,,,,,,,
أو,تحته,ليدفنن,0902Sakhawi.AjwibaMurdiyya,,,,,1662,,,,,,,
أول,قتيبة,ابن,0548Shahrastani.MilalWaNihal,,,,,1541,1,,0276IbnQutaybaDinawari,1,2,,
أيضا,الوراق,السراج,0692IbnCabdZahir.RawdZahir,0725BaybarsMansuri.ZubdatFikra,0807IbnFurat.TarikhDuwal,,,1577,1,,,1,2,,0695SarrajDinWaraq
أيضا,الوراق,السراج,0692IbnCabdZahir.RawdZahir,,,,,1578,,,,,,,
أيوب,بن,يحيى,0224QasimIbnSallam.Amwal,0257IbnCabdHakam.FutuhMisr,,,,772,,,,,,5,
أيوب,بن,يحيى,0227IbnMansurKhurasani.Sunan,0227IbnMansurKhurasani.TafsirMinSunanSacid',0911Suyuti.HusnMuhadara,,,771,,,,,,,
أيوب,بن,يحيى,0251IbnZanjawayh.Amwal,0257IbnCabdHakam.FutuhMisr,,,,770,,,,,,,
إبراهيم,بن,محمد,0626YaqutHamawi.MucjamBuldan,0692IbnCabdZahir.RawdaBahiyya,0911Suyuti.HusnMuhadara,0930IbnIyas.NuzhatUmam,,616,,,,,,5,
إسحاق,بن,أحمد,0350MuhammadKindi.WulatMisr,0874IbnTaghribirdi.NujumZahira,,,,835,,,,,,,
إسحاق,بن,محمد,0213IbnHisham.SiraNabawiyya,0654SibtIbnJawzi.MiratZaman,,,,72,1,,0151IbnIshaq.Sira,,,,
إسحاق,بن,محمد,0257IbnCabdHakam.FutuhMisr,0911Suyuti.HusnMuhadara,,,,73,,,,,,,
إسحاق,بن,محمد,0257IbnCabdHakam.FutuhMisr,,,,,724.725,,,,,,,
إسحاق,بن,محمد,0458IbnSidaMursi.MuhkamWaMuhit,0711IbnManzurIfriqi.LisanCarab,,,,1234,,,,,,,
إسحاق,بن,محمد,0458IbnSidaMursi.MuhkamWaMuhit,,,,,1235,,,,,,,
إسحاق,بن,يعقوب,0456IbnHazm.FisalFiMilal,,,,,673,1,,,,,5,
إلهان,وأمه,المسيح,0845Maqrizi.KhabarCanBashar,,,,,1703,0,,,,,,
إن,المتوج,ابن,0911Suyuti.HusnMuhadara,,,,,1422,,,,,,,
إنك,ربنا,موسى,0350Balawi.SiratAhmadIbnTulun,0845Maqrizi.Muqaffa',0845Maqrizi.Rasail',0845Maqrizi.ShudhurCuqud,0930IbnIyas.NuzhatUmam,161,0,,,,,,
إنك,ربنا,موسى,0350Balawi.SiratAhmadIbnTulun,0930IbnIyas.NuzhatUmam,,,,160,,,,,,,
ابن,الملك,بشر,0613CaliIbnZafir.BadaicBadaih,0613CaliIbnZafir.BadaicBadaih',0613CaliIbnZafir.GharaibTanbihat,0930IbnIyas.NuzhatUmam,,221,,,,,,,
ابن,الملك,بشر,0733Nuwayri.NihayatArab,0930IbnIyas.NuzhatUmam,,,,222,,,,,,,
ابن,بكر,أبو,0613CaliIbnZafir.BadaicBadaih,0613CaliIbnZafir.BadaicBadaih',0613CaliIbnZafir.GharaibTanbihat,0930IbnIyas.NuzhatUmam,,221,,,,,,,
ابن,بكر,أبو,0733Nuwayri.NihayatArab,0930IbnIyas.NuzhatUmam,,,,222,,,,,,,
الأخيار,فج,هذا,0630IbnAthirCizzDin.Kamil,,,,,1165,0,,,,,,
الأديب,ذلك,في,0764IbnShakirKutubi.FawatWafayat,0764Safadi.AcyanCasr',0764Safadi.WafiBiWafayat',,,1175,,,,,,,
الأستاذ,شيخنا,لي,0733Nuwayri.NihayatArab,0930IbnIyas.NuzhatUmam,,,,169,,,,,,,
الأستاذ,شيخنا,لي,0930IbnIyas.NuzhatUmam,,,,,168,,,,,,,
الأندلسي,الصلت,أبو,0487AbuCubaydBakri.MucjamMaIstacjama,0930IbnIyas.NuzhatUmam,,,,354,1,,,,,,
الأندلسي,الصلت,أبو,0626YaqutHamawi.MucjamBuldan,0930IbnIyas.NuzhatUmam,,,,353,,,,,,,0529AbuSalt
الأندلسي,الصلت,أبو,0649MuhammadIdrisi.Anwar,0930IbnIyas.NuzhatUmam,,,,355,,,,,,,
الأندلسي,الصلت,أبو,0911Suyuti.HusnMuhadara',0911Suyuti.TuhfatKiram,0930IbnIyas.NuzhatUmam,,,352,,,,,,,
الإلهية,الأنوار,بتناسخ,0548Shahrastani.MilalWaNihal,,,,,1546,0,,,,,,
البطائحي,المأمون,ابن,0350MuhammadKindi.FadailMisr,0930IbnIyas.NuzhatUmam,,,,576,,,,,,,
البطائحي,المأمون,ابن,0350MuhammadKindi.FadailMisr,,,,,575,,,,,,,
البطائحي,المأمون,ابن,0588IbnMamun.AkhbarMisr,0845Maqrizi.ItticazHunafa,,,,574,1,1,,,,,
البغدادي,اللطيف,عبد,0597CimadDinKatibIsfahani.KharidatQasr,0615MuwaffaqDinShafici.MurshidZuwwar,,,,1563,1,,0629CabdLatifBaghdadi,,,,
البغدادي,اللطيف,عبد,0615MuwaffaqDinShafici.MurshidZuwwar,0927Nucaymi.DarisFiMadaris,,,,1562,,,,,,,
البغدادي,اللطيف,عبد,0615MuwaffaqDinShafici.MurshidZuwwar,,,,,1564,,,,,,,
البكري,عبيد,أبو,0204IbnKalbi.NasabMacad,,,,,527,,,,,,,
البكري,عبيد,أبو,0487AbuCubaydBakri.MucjamMaIstacjama,0930IbnIyas.NuzhatUmam,,,,557,1,1,,,,,
البكري,عبيد,أبو,0930IbnIyas.BadaicZuhur',0930IbnIyas.NuzhatUmam,,,,555.556,,,,,,,
البلايا,فإن,عمارة,0845Maqrizi.MusawwadatMawaciz,,,,,1166,,,,,,,
البنية,كتاب,في,0346Mascudi.TanbihWaIshraf,,,,,344,1,1,,,,5,
البيروتي,الريحان,أبو,0487AbuCubaydBakri.MucjamMaIstacjama,0930IbnIyas.NuzhatUmam,,,,354,1,,0440AbuRayhanBiruni,,,,
البيروتي,الريحان,أبو,0626YaqutHamawi.MucjamBuldan,0930IbnIyas.NuzhatUmam,,,,353,,,,,,,
البيروتي,الريحان,أبو,0649MuhammadIdrisi.Anwar,0930IbnIyas.NuzhatUmam,,,,355,,,,,,,
البيروتي,الريحان,أبو,0911Suyuti.HusnMuhadara',0911Suyuti.TuhfatKiram,0930IbnIyas.NuzhatUmam,,,352,,,,,,,
التاريخ,في,المسعودي,0749IbnFadlAllahCumari.MasalikAbsar,0930IbnIyas.NuzhatUmam,,,,85,1,,0346Mascudi,,,,
التركية,السيرة,جامع,0725BaybarsMansuri.ZubdatFikra,0930IbnIyas.NuzhatUmam,,,,323,1,,,,,,Anonymous
الجارود,في,العبدي,0257IbnCabdHakam.FutuhMisr,0626YaqutHamawi.MucjamBuldan,,,,1251,,,,,,,
الحدوث,من,اذكر,0733Nuwayri.NihayatArab,,,,,920,0,,,,,,
الحسن,محمد,أبو,0646IbnQifti.IkhbarCulama,0646IbnQifti.TarikhHukama',0930IbnIyas.NuzhatUmam,,,84,1,,,,,5,
الحسن,محمد,أبو,0649MuhammadIdrisi.Anwar,0930IbnIyas.NuzhatUmam,,,,83,,,,,,,
الحسن,محمد,أبو,0728IbnTaymiyya.JamicMasail,0930IbnIyas.NuzhatUmam,,,,82,,,,,,,
الحكم,عبد,ابن,0200YahyaIbnSalam.Tafsir,0369AbuShaykhIsbahani.Cuzma,,,,419,,,,,,,
الحكم,عبد,ابن,0251IbnZanjawayh.Amwal,0257IbnCabdHakam.FutuhMisr,,,,567,,,,,,,
الحكم,عبد,ابن,0251IbnZanjawayh.Amwal,,,,,566,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0327AbuBakrKharaiti.IctilalQulub,,,,96,1,1,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0520IbnWalidTurtushi.SirajMuluk,0930IbnIyas.NuzhatUmam,,,235,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0626YaqutHamawi.MucjamBuldan,,,,142,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0717CabbasSafadi.NuzhatMalikWaMamluk,,,,94,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0733Nuwayri.NihayatArab,0911Suyuti.HusnMuhadara,,,502,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0774IbnKathir.Bidaya,,,,254,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0845Maqrizi.Muqaffa,,,,1329,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0874IbnTaghribirdi.NujumZahira,,,,776.777.778.779,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0911Suyuti.HusnMuhadara,0930IbnIyas.NuzhatUmam,,,144,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0911Suyuti.HusnMuhadara,,,,143.492.493.495,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0930IbnIyas.NuzhatUmam,,,,140.397.462.513,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0997IbnCaliSibahiZadehBursawi.AwdahMasalik,,,,427,,,,,,,
الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,,,,,87.95.97.136.141.239.240.250.251.252.253.407.426.569.660.661.724.725.774.775.1266.1560.1720,,,,,,,
الحكم,عبد,ابن,0276IbnQutaybaDinawari.MacaniKabir,0711IbnManzurIfriqi.LisanCarab,,,,425,,,,,,,
الحكم,عبد,ابن,0300IbnKhurdadhbih.MasalikWaMamalik,0930IbnIyas.NuzhatUmam,,,,396,,,,,,,
الحكم,عبد,ابن,0347IbnYunusSadafi.Tarikh,0930IbnIyas.NuzhatUmam,,,,558,,,,,,,
الحكم,عبد,ابن,0350MuhammadKindi.FadailMisr,0930IbnIyas.NuzhatUmam,,,,559,,,,,,,
الحكم,عبد,ابن,0360KushajimShacir.Diwan,,,,,1719,,,,,,,
الحكم,عبد,ابن,0463IbnCabdBarr.IsticabFiMacrifatAshab,,,,,568,,,,,,,
الحكم,عبد,ابن,0487AbuCubaydBakri.MasalikWaMamalik,0600PseudoMascudi.AkhbarZaman,,,,238,,,,,,,
الحكم,عبد,ابن,0487AbuCubaydBakri.MasalikWaMamalik,0733Nuwayri.NihayatArab,,,,405,,,,,,,
الحكم,عبد,ابن,0565AbuHamidGharnati.TuhfatAlbab,0930IbnIyas.NuzhatUmam,,,,464,,,,,,,
الحكم,عبد,ابن,0596IbnWasifShah.MukhtasarCajaibDunya,,,,,537,,,,,,,
الحكم,عبد,ابن,0600PseudoMascudi.AkhbarZaman,,,,,410,,,,,,,
الحكم,عبد,ابن,0626YaqutHamawi.MucjamBuldan,0874IbnTaghribirdi.NujumZahira,0930IbnIyas.NuzhatUmam,,,201,,,,,,,
الحكم,عبد,ابن,0733Nuwayri.NihayatArab,0911Suyuti.HusnMuhadara,,,,494,,,,,,,
الحكم,عبد,ابن,0733Nuwayri.NihayatArab,0930IbnIyas.NuzhatUmam,,,,234.463.514,,,,,,,
الحكم,عبد,ابن,0930IbnIyas.NuzhatUmam,,,,,197.198.560,,,,,,,
الخامسة,آخر,في,0367IbnHawqal.SuratArd,0930IbnIyas.NuzhatUmam,,,,342,0,,,,,,
الخطاب,أبو,الحافظ,0255Jahiz.Hayawan,0449AbuCalaMacarri.RisalatSahilWaShajih,,,,63,1,,0510AbuKhattabKalwadhani,,,5,
الخطاب,أبو,الحافظ,0400IbnTahirMaqdisi.BadWaTarikh,0449AbuCalaMacarri.RisalatSahilWaShajih,,,,62,,,,,,,
الدار,سيدة,ابن,0458IbnSidaMursi.MuhkamWaMuhit,,,,,1205,1,1,,1,2,,
الدر,كتاب,في,0692IbnCabdZahir.RawdaBahiyya,0845Maqrizi.Muqaffa',0845Maqrizi.MusawwadatMawaciz,,,994,1,,,,,5,0692IbnCabdZahir.DurrNazim
الدر,كتاب,في,0845Maqrizi.Muqaffa,0845Maqrizi.Muqaffa',0845Maqrizi.MusawwadatMawaciz,,,995,,,,,,,
الدر,كتاب,في,0845Maqrizi.Muqaffa',0845Maqrizi.MusawwadatMawaciz,,,,996,,,,,,,
الدر,كتاب,في,0845Maqrizi.MusawwadatMawaciz,,,,,997,,,,,,,
الدين,أثير,العلامة,0458IbnSidaMursi.IcrabQuran,0930IbnIyas.NuzhatUmam,,,,380,,,,,,5,
الدين,بهاء,الشيخ,0911Suyuti.HusnMuhadara,,,,,1491,,,,,,5,
الدين,جمال,الأمير,0588IbnMamun.AkhbarMisr,0845Maqrizi.Muqaffa',0845Maqrizi.MusawwadatMawaciz,,,905,,,,,,5,
الدين,جمال,الأمير,0588IbnMamun.AkhbarMisr,,,,,906,,,,,,,
الدين,جمال,الحافظ,0692IbnCabdZahir.RawdaBahiyya,,,,,1179,,,,,,,
الدين,جمال,الشيخ,0692IbnCabdZahir.RawdZahir,0725BaybarsMansuri.ZubdatFikra,0807IbnFurat.TarikhDuwal,,,1577,,,,,,,
الدين,جمال,الشيخ,0692IbnCabdZahir.RawdZahir,,,,,1578,,,,,,,
الدين,جمال,القاضي,0764Safadi.WafiBiWafayat,,,,,1233,,,,,,,
الدين,زين,فيه,0583SibtIbnTacawidhiShacir.Diwan,0764Safadi.AcyanCasr,0764Safadi.WafiBiWafayat',,,1217,,,,,,,
