row_id,word_5,word_4,word_3,word_2,word_1,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,cit,book_no,uri_other,word_start,word_end,extend,new_uri
1017.1018.1019,النحر,عيد,في,المامون,ابن,0588IbnMamun.AkhbarMisr,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,,
1115.1116.1118,تحول,ذكر,لما,المامون,ابن,0845Maqrizi.MusawwadatMawaciz,0588IbnMamun.AkhbarMisr,,,,,,,,,,,,,,,,,,,,
1070.1071,المامون,الاجل,واحضر,المامون,ابن,0617IbnTuwayr.NuzhatMuqlatayn,0821Qalqashandi.SubhAcsha,0874IbnTaghribirdi.NujumZahira,,,,,,,,,,,,,,,,,,,
931,فبلغني,الاستيمار,واما,المامون,ابن,0588IbnMamun.AkhbarMisr,,,,,,,,,,,,,,,,,,,,,
1035,قرر,ما,واما,المامون,ابن,0588IbnMamun.AkhbarMisr,0845Maqrizi.Muqaffa',0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,
947.948.949,يعني,الاجل,وجلس,المامون,ابن,0845Maqrizi.MusawwadatMawaciz,0588IbnMamun.AkhbarMisr,,,,,,,,,,,,,,,,,,,,
1139.1140,النوروز,موسم,وحل,المامون,ابن,0588IbnMamun.AkhbarMisr,0677IbnMuyassar.AkhbarMisr,,,,,,,,,,,,,,,,,,,,
945.1094.1095,الشهر,هذا,وفي,المامون,ابن,0588IbnMamun.AkhbarMisr,0845Maqrizi.ItticazHunafa,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,
933.934,السنه,هذه,وفي,المامون,ابن,0617IbnTuwayr.NuzhatMuqlatayn,,,,,,,,,,,,,,,,,,,,,
1025,الجمعه,يوم,وفي,المامون,ابن,0588IbnMamun.AkhbarMisr,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,,
1008.1009.1010.1011,عاشورا,يوم,وفي,المامون,ابن,0845Maqrizi.MusawwadatMawaciz,0845Maqrizi.ItticazHunafa,0588IbnMamun.AkhbarMisr,,,,,,,,,,,,,,,,,,,
1135,لا,الما,وكان,المامون,ابن,0588IbnMamun.AkhbarMisr,0692IbnCabdZahir.RawdaBahiyya,,,,,,,,,,,,,,,,,,,,
1036,جمله,من,وكان,المامون,ابن,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,,
969,في,يكن,ولم,المامون,ابن,0460Anonymous.DhakhairTuhaf,0845Maqrizi.ItticazHunafa,,,,,,,,,,,,,,,,,,,,
1074,امير,توفي,ولما,المامون,ابن,0588IbnMamun.AkhbarMisr,,,,,,,,,,,,,,,,,,,,,
1111.1112,الاهتمام,وقع,ولما,المامون,ابن,0588IbnMamun.AkhbarMisr,,,,,,,,,,,,,,,,,,,,,
787,اولي,ثلاث,الحمراوات,المتوج,ابن,0821Qalqashandi.SubhAcsha,,,,,,,,,,,,,,,,,,,,,
1422,هذا,ذرع,ان,المتوج,ابن,0911Suyuti.HusnMuhadara,,,,,,,,,,,,,,,,,,,,,
1598,المساجد,عده,ان,المتوج,ابن,0458IbnSidaMursi.MuhkamWaMuhit,,,,,,,,,,,,,,,,,,,,,
1236,حمامات,عده,ان,المتوج,ابن,0692IbnCabdZahir.RawdaBahiyya,,,,,,,,,,,,,,,,,,,,,
1300,هذه,الحبش,بركه,المتوج,ابن,0911Suyuti.HusnMuhadara,,,,,,,,,,,,,,,,,,,,,
1310,بظاهر,الشعيبيه,بركه,المتوج,ابن,0470MuayyadFiDinShirazi.Sira,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,,,,,,,,,,,,,,,,,,,,
1314,بظاهر,شطا,بركه,المتوج,ابن,0606IbnMamati.QawaninDawawin,,,,,,,,,,,,,,,,,,,,,
846,الصفا,خط,بقعه,المتوج,ابن,0487AbuCubaydBakri.MasalikWaMamalik,,,,,,,,,,,,,,,,,,,,,
1345,الملك,اشتري,ثم,المتوج,ابن,0911Suyuti.HusnMuhadara,,,,,,,,,,,,,,,,,,,,,
724.725,الشمع,قصر,خط,المتوج,ابن,0257IbnCabdHakam.FutuhMisr,,,,,,,,,,,,,,,,,,,,,
370,هو,الصنم,زقاق,المتوج,ابن,0597CimadDinKatibIsfahani.KharidatQasr,0930IbnIyas.NuzhatUmam,,,,,,,,,,,,,,,,,,,,
1257,خمسين,سنه,في,المتوج,ابن,0845Maqrizi.Suluk,,,,,,,,,,,,,,,,,,,,,
845,اوله,القديم,والساحل,المتوج,ابن,0626YaqutHamawi.MucjamBuldan,,,,,,,,,,,,,,,,,,,,,
1302,النيل,ما,ورايت,المتوج,ابن,0528HakamIbnAbiSalt.Diwan,,,,,,,,,,,,,,,,,,,,,
1233,الاوقاف,جمله,ومن,المتوج,ابن,0764Safadi.WafiBiWafayat,,,,,,,,,,,,,,,,,,,,,
845,بستان,ان,ونقل,المتوج,ابن,0626YaqutHamawi.MucjamBuldan,,,,,,,,,,,,,,,,,,,,,
518,صغير,بلد,تنيس,بطلان,ابن,0346Mascudi.MurujDhahab,,,,,,,,,,,,,,,,,,,,,
462.463.464.637,ان,رحلته,في,جبير,ابن,0257IbnCabdHakam.FutuhMisr,0930IbnIyas.NuzhatUmam,0733Nuwayri.NihayatArab,0565AbuHamidGharnati.TuhfatAlbab,0487AbuCubaydBakri.MasalikWaMamalik,0911Suyuti.NawadirAyk,,,,,,,,,,,,,,,,
1444.1445,صلي,النبي,علم,جريج,ابن,0230IbnSacd.TabaqatKubra,0238IbnRahawayh.Musnad,,,,,,,,,,,,,,,,,,,,
62.63,ليس,كتاب,في,خالويه,ابن,0400IbnTahirMaqdisi.BadWaTarikh,0449AbuCalaMacarri.RisalatSahilWaShajih,0255Jahiz.Hayawan,,,,,,,,,,,,,,,,,,,
42,والسودان,الحبشه,ارض,خرداذبه,ابن,0375AnonymousTranslator.TarikhCalamUrusiyus,,,,,,,,,,,,,,,,,,,,,
416.417.418,بنيت,الاسكندريه,ان,خرداذبه,ابن,0600KatibMarrakushi.Istibsar,0733Nuwayri.NihayatArab,0487AbuCubaydBakri.MasalikWaMamalik,,,,,,,,,,,,,,,,,,,
579,فيركبون,التجار,عن,خرداذبه,ابن,0560SharifIdrisi.NuzhatMushtaq,0900IbnCabdMuncimHimyari.RawdMictar,,,,,,,,,,,,,,,,,,,,
396.397.527,المسالك,كتاب,في,خرداذبه,ابن,0300IbnKhurdadhbih.MasalikWaMamalik,0930IbnIyas.NuzhatUmam,0257IbnCabdHakam.FutuhMisr,0204IbnKalbi.NasabMacad,,,,,,,,,,,,,,,,,,
1562.1563.1564,صلاح,للسلطان,وزر,خلكان,ابن,0615MuwaffaqDinShafici.MurshidZuwwar,0927Nucaymi.DarisFiMadaris,0597CimadDinKatibIsfahani.KharidatQasr,,,,,,,,,,,,,,,,,,,
1137,ساعته,في,فخرج,دحيه,ابن,0764IbnShakirKutubi.FawatWafayat,0764Safadi.WafiBiWafayat',0845Maqrizi.ItticazHunafa,,,,,,,,,,,,,,,,,,,
658,فيه,يخزن,الفيوم,رضوان,ابن,0930IbnIyas.NuzhatUmam,,,,,,,,,,,,,,,,,,,,,
223,بامم,يمر,والنيل,رضوان,ابن,0930IbnIyas.NuzhatUmam,,,,,,,,,,,,,,,,,,,,,
227.228.229,يحرك,حيوان,كل,زهران,ابن,0346Mascudi.MurujDhahab,0930IbnIyas.NuzhatUmam,0646IbnBaytarAndalusi.JamicLiMufradat,0784IbnMahmudJalalDinQahiri.UnsMala,,,,,,,,,,,,,,,,,,
1679,جوهرا,القاد,ان,زولاق,ابن,0889IbnAhmadSakhawi.TuhfatAhbab,,,,,,,,,,,,,,,,,,,,,
1271.1317,اتمام,كتاب,في,زولاق,ابن,0845Maqrizi.Muqaffa,0845Maqrizi.MusawwadatMawaciz,0911Suyuti.HusnMuhadara,,,,,,,,,,,,,,,,,,,
1007.1272.1273,سيره,كتاب,في,زولاق,ابن,0845Maqrizi.ItticazHunafa,0845Maqrizi.MusawwadatMawaciz,0845Maqrizi.MusawwadatMawaciz',0677IbnMuyassar.AkhbarMisr,,,,,,,,,,,,,,,,,,
1139.1140,السنه,هذه,وفي,زولاق,ابن,0588IbnMamun.AkhbarMisr,0677IbnMuyassar.AkhbarMisr,,,,,,,,,,,,,,,,,,,,
900,ثمانيه,يوم,وفي,زولاق,ابن,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,,
162.163,ودراهمهم,دنانيرهم,صارت,زيد,ابن,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,0571IbnCasakir.TarikhDimashq,0930IbnIyas.NuzhatUmam,0716NajmDinTufi.Isharat,,,,,,,,,,,,,,,,,,
1328,ما,له,فقلت,سالم,ابن,0128IbnAbiHabibMisri.AhadithYazid,0347IbnYunusSadafi.Tarikh,,,,,,,,,,,,,,,,,,,,
89.90.91.92.93,بن,محمد,اخبرنا,سعد,ابن,0257IbnCabdHakam.FutuhMisr,0717CabbasSafadi.NuzhatMalikWaMamluk,0230IbnSacd.TabaqatKubra,0852IbnHajarCasqalani.IsabaFiTamyiz,0705SharafDinDimyati.NisaRasul,,,,,,,,,,,,,,,,,
1444.1445,اذن,بلالا,ان,سعد,ابن,0230IbnSacd.TabaqatKubra,0238IbnRahawayh.Musnad,,,,,,,,,,,,,,,,,,,,
1295,لا,خليج,وفيها,سعد,ابن,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,,,
527,يصل,واليها,بلبيس,سعيد,ابن,0204IbnKalbi.NasabMacad,,,,,,,,,,,,,,,,,,,,,
1133,المحلي,كتاب,في,سعيد,ابن,0749IbnFadlAllahCumari.MasalikAbsar,,,,,,,,,,,,,,,,,,,,,
616.1182.1302.1317.1679,المغرب,كتاب,في,سعيد,ابن,0626YaqutHamawi.MucjamBuldan,0692IbnCabdZahir.RawdaBahiyya,0911Suyuti.HusnMuhadara,0930IbnIyas.NuzhatUmam,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,0528HakamIbnAbiSalt.Diwan,0889IbnAhmadSakhawi.TuhfatAhbab,,,,,,,,,,,,,,
1270,اني,علمت,لقد,سندر,ابن,0347IbnYunusSadafi.Tarikh,,,,,,,,,,,,,,,,,,,,,
1615,الخيل,من,الرباط,سيده,ابن,0458IbnSidaMursi.MuhkamWaMuhit,,,,,,,,,,,,,,,,,,,,,
1726,وقد,الجبل,الطور,سيده,ابن,0732AbuFida.TaqwimBuldan,,,,,,,,,,,,,,,,,,,,,
1251.1296,المحكم,كتاب,في,سيده,ابن,0257IbnCabdHakam.FutuhMisr,0626YaqutHamawi.MucjamBuldan,0911Suyuti.HusnMuhadara,,,,,,,,,,,,,,,,,,,
1242,مدينته,البلد,قصبه,سيده,ابن,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,,,,,,,,,
1250,ارض,كل,واللق,سيده,ابن,0458IbnSidaMursi.MuhkamWaMuhit,,,,,,,,,,,,,,,,,,,,,
1702,ونصوريه,وناصره,ونصري,سيده,ابن,0328AbuBakrIbnAnbari.Addad,0328AbuBakrIbnAnbari.ZahirFiMacani',0338AbuJacfarNahhas.MacaniQuran,,,,,,,,,,,,,,,,,,,
226,يصاد,ورن,هو,سينا,ابن,0367IbnHawqal.SuratArd,0646IbnBaytarAndalusi.JamicLiMufradat,,,,,,,,,,,,,,,,,,,,
293.294.295,من,اول,عمر,شهاب,ابن,0733Nuwayri.NihayatArab,0855BadrDinCayni.CumdatQari,0262CumarIbnShabba.TarikhMadina,0182AbuYusufYacqub.Kharaj,0279Baladhuri.AnsabAshraf,,,,,,,,,,,,,,,,,
774.775.776,مصر,فتح,كان,شهاب,ابن,0257IbnCabdHakam.FutuhMisr,0874IbnTaghribirdi.NujumZahira,,,,,,,,,,,,,,,,,,,,
72.73,ان,يقال,وكان,شهاب,ابن,0213IbnHisham.SiraNabawiyya,0654SibtIbnJawzi.MiratZaman,0257IbnCabdHakam.FutuhMisr,0911Suyuti.HusnMuhadara,,,,,,,,,,,,,,,,,,
1727.1728,راهب,يا,فيه,عامر,ابن,0388Shabushti.Diyarat,0626YaqutHamawi.Khazal,0626YaqutHamawi.MucjamBuldan',,,,,,,,,,,,,,,,,,,
71,عنه,الله,رضي,عباس,ابن,0733Nuwayri.NihayatArab,0911Suyuti.HusnMuhadara,,,,,,,,,,,,,,,,,,,,
529.530.998.999,عنهما,الله,رضي,عباس,ابن,0204Shafici.AhkamQuran,0204Shafici.TafsirShafici',0845Maqrizi.KhabarCanBashar,0541IbnCatiyyaAndalusi.MuharrarWajiz,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa,0230IbnSacd.TabaqatKubra',0230IbnSacd.TarjamatHusayn,0463IbnCabdBarr.IsticabFiMacrifatAshab,,,,,,,,,,,,
66.67.68,المسيب,بن,وسعيد,عباس,ابن,0257IbnCabdHakam.FutuhMisr,0347IbnYunusSadafi.Tarikh,0733Nuwayri.NihayatArab,,,,,,,,,,,,,,,,,,,
1559,فخلق,يعرفون,وغيره,عباس,ابن,0764Safadi.WafiBiWafayat,,,,,,,,,,,,,,,,,,,,,
405,كلكلي,ان,الحكم,عبد,ابن,0487AbuCubaydBakri.MasalikWaMamalik,0733Nuwayri.NihayatArab,,,,,,,,,,,,,,,,,,,,
558.559,عمرو,بعث,الحكم,عبد,ابن,0347IbnYunusSadafi.Tarikh,0930IbnIyas.NuzhatUmam,0350MuhammadKindi.FadailMisr,,,,,,,,,,,,,,,,,,,
407,توفي,ثم,الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,,,,,,,,,,,,,,,,,,,,,
234.235,ابي,عن,الحكم,عبد,ابن,0733Nuwayri.NihayatArab,0930IbnIyas.NuzhatUmam,0257IbnCabdHakam.FutuhMisr,0520IbnWalidTurtushi.SirajMuluk,,,,,,,,,,,,,,,,,,
238.239.240.396.397,عبد,عن,الحكم,عبد,ابن,0487AbuCubaydBakri.MasalikWaMamalik,0600PseudoMascudi.AkhbarZaman,0257IbnCabdHakam.FutuhMisr,0300IbnKhurdadhbih.MasalikWaMamalik,0930IbnIyas.NuzhatUmam,,,,,,,,,,,,,,,,,
777.778.779,يزد,عن,الحكم,عبد,ابن,0257IbnCabdHakam.FutuhMisr,0874IbnTaghribirdi.NujumZahira,,,,,,,,,,,,,,,,,,,,
560,يزيد,عن,الحكم,عبد,ابن,0930IbnIyas.NuzhatUmam,,,,,,,,,,,,,,,,,,,,,
