,reuser,ms_count
222,0845Maqrizi.DawSari,1
93,0660IbnCadim.TarjamatHusayn,1
92,0568MuwaffaqKhwarazmi.MaqtalHusayn,1
91,0282AbuHanifaDinawari.AkhbarTiwal,1
90,0548IbnHasanTabarsi.IclamWara,1
89,0413ShaykhMufid.Irshad,1
154,0311IbnBajirBajiri.JamicMusnad,1
87,0508FattalNaysaburi.RawdatWacizin,1
86,0718AbuIshaqWatwat.GhurarKhasais,1
85,0588IbnShahrAshub.ManaqibAlAbiTalib,1
84,0314IbnActhamKufi.Futuh,1
83,0955MuhammadKarakiHairi.TasliyatMujalis,1
155,0458YahyaIbnSacidAntaki.Tarikh,1
94,0157AbuMikhnafAzdi.MaqtalHusayn,1
80,0279Baladhuri.AnsabAshraf,1
159,0966HusaynDiyarbakri.TarikhKhamis,1
74,0362IbnHaniAndalusi.Diwan,1
73,0626YaqutHamawi.MucjamUdaba,1
71,0845Maqrizi.IghathaUmma,1
163,0684IbnShaddad.TarikhMalikZahir,1
69,0255Jahiz.Hayawan,1
67,0128IbnAbiHabibMisri.AhadithYazid,1
165,0837IbnHijjaHamawi.KhizanatAdab,1
65,0664IbnTawus.Tashrif,1
127,0658IbnAbbar.IctabKitab,1
63,0685IbnYahyaSulami.CiqdDurar,1
62,0444AbuCamrDani.SunanWarida,1
157,0814IbnZayyat.KawakibSayyara,1
95,0157AbuMikhnafAzdi.WaqcatTaff,1
153,0975MuttaqiHindi.KanzCummal,1
97,0555IbnQalanisi.TarikhDimashq,1
126,0606IbnMamati.LataifDhakhira,1
125,0619AbuCabbasSharishi.SharhMaqamatHariri,1
131,0690IbnMujawirDimashqi.TarikhMustabsir,1
123,0748Dhahabi.SiyarAclamNubala,1
122,0658IbnAbbar.HullaSiyara,1
121,0597CimadDinKatibIsfahani.KharidatQasr,1
133,0685IbnSacidMaghribi.Muqtataf,1
119,0650JamalDinJawbari.MukhtarFiKashfAsrar,1
118,0711IbnManzurIfriqi.LisanCarab,1
117,0458IbnSidaMursi.MuhkamWaMuhit,1
116,0613CaliIbnZafir.AkhbarDuwalMunqatica,1
115,0633IbnDihyaJumayyilKalbi.NibrasFiTarikh,1
227,0902Sakhawi.AjwibaMurdiyya,1
113,0852IbnHajarCasqalani.RafcIsr,1
134,0885CalaDinMardawi.Insaf,1
135,0763IbnMuflihMaqdisi.FurucWaTashihFuruc,1
136,0795IbnRajabHanbali.DhaylTabaqatHanabila,1
139,0665AbuShama.Rawdatayn,1
140,0776MuhammadIbnHasanWasiti.MajmacAhbab,1
141,0808MuhammadDamiri.HayatHayawanKubra,1
142,0884AbuDharrSibtIbnCajami.KunuzDhahab,1
143,0725BaybarsMansuri.TuhfaMulukiyya,1
144,0970IbnIbrahimIbnNujaymMisri.BahrRaiq,1
145,0458Bayhaqi.SunanKubra,1
149,0928MujirDinCulaymi.TarikhMuctabar,1
151,0911Suyuti.JamicKabir,1
152,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,1
166,0685IbnSacidMaghribi.MurqisatWaMutribat,1
167,0685IbnSacidMaghribi.Mughrib,1
64,0664IbnTawus.MalahimWaFitan,1
199,0668IbnAbiUsaybica.CuyunAnba,1
29,0565AbuHamidGharnati.TuhfatAlbab,1
201,0465IbnHawazinQushayri.RisalaQushayriyya,1
203,0808IbnKhaldun.ShifaSail,1
204,0772IbnHasanJamalDinIsnawi.TabaqatShaficiyya,1
205,0947BamakhramaHimyari.QiladatNahr,1
223,0751IbnQayyimJawziyya.HidayatHayara,1
206,0768Yafici.MiratJinan,1
224,0728IbnTaymiyya.JawabSahih,1
225,0751IbnQayyimJawziyya.IghathatLahfan,1
207,0748Dhahabi.CibarFiKhabar,1
208,0748Dhahabi.DhaylCibar,1
17,0520IbnWalidTurtushi.SirajMuluk,1
209,0902Sakhawi.Ilmam,1
210,0705SharafDinDimyati.MucjamShuyukh,1
211,0562Samcani.Ansab,1
212,0728IbnTaymiyya.MajmucFatawa,1
213,0728IbnTaymiyya.Iman,1
215,0500Anonymous.CuyunWaHadaiq,1
216,0945ShamsDinDawudi.TabaqatMufassirin,1
217,0911Suyuti.Muhadarat,1
218,0902Sakhawi.Buldaniyyat,1
6,0356AbuCaliQali.AmaliFiLugha,1
5,0487AbuCubaydBakri.SimtLaaliFiSharhAmali,1
4,0487AbuCubaydBakri.TanbihCalaAwham,1
219,0696SharafDinBusiri.Diwan,1
220,0255Jahiz.BayanWaTabyin,1
226,0724IbnKabar.MisbahZulma,1
168,0902Sakhawi.JawahirWaDurar,1
197,0656IbnCabdQawiMundhiri.TakmilaLiWafayatNaqala,1
130,0654IbnShaccarMawsili.Qalaid,1
195,0573NashwanHimyari.HurCin,1
173,0463KhatibBaghdadi.JamicLiAkhlaqRawiWaAdabSamic,1
174,0911Suyuti.BahrAlladhiZakhar,1
53,0940IbnQasimMuhyiDinAmasi.RawdAkhyar,1
175,0795IbnRajabHanbali.SharhCilalTirmidhi,1
176,0360Ramhurmuzi.MuhaddithFasil,1
177,0262CumarIbnShabba.TarikhMadina,1
178,0211CabdRazzaqSancani.Musannaf,1
179,0334Azdi.TarikhMawsil,1
180,0283AbuIshaqThaqafi.Gharat,1
196,0730QasimTujibi.Barnamaj,1
182,0845Maqrizi.NizacWaTakhasum,1
184,0415QadiCabdJabbar.ManiyyaWaAmal,1
181,0845Maqrizi.Rasail,1
191,0728IbnTaymiyya.MinhajSunna,1
188,0816IbnMuhammadSharifJurjani.Tacrifat,1
189,0606FakhrDinRazi.Ictiqadat,1
194,0319AbuQasimBalkhi.Maqalat,1
190,0745MuayyadYahyaIbnHamzaCalawi.TamhidFiSharh,1
37,0614IbnJubayr.Rihla,1
192,0775Anonymous.InsafFiIntisaf,1
171,0726CallamaHilli.NihayatWusul,2
172,0751IbnQayyimJawziyya.SawaciqMursala,2
198,0953IbnTulun.InbaUmara,2
200,0864Jazairi.IbtisamGhurus,2
164,0930IbnIyas.BadaicZuhur,2
187,0756CadudDinIji.Mawaqif,2
156,0630IbnAthirCizzDin.LubabFiTahdhibAnsab,2
214,0479MurshidYahyaJurjani.AmaliIthnayniyya,2
