,Unnamed: 0.1,Unnamed: 0,uri,ms,origin,origin_prev_ms
0,0,0.0,0820IbnMutawwaj,753,self,False
763,763,812.0,0685IbnSacidMaghribi,753,self,False
1,1,1.0,0820IbnMutawwaj,785,self,False
2,2,2.0,0820IbnMutawwaj,1293,self,False
362,362,396.0,0692IbnCabdZahir.RawdaBahiyya,1293,self,False
3,3,3.0,0820IbnMutawwaj,1394,self,False
4,4,4.0,0820IbnMutawwaj,1688,self,False
1623,0,,0820IbnMutawwaj,1688,0911Suyuti.HusnMuhadara.577,False
5,5,5.0,0276IbnQutaybaDinawari.GharibHadith,46,self,False
614,614,663.0,0231IbnZiyadAcrabi,46,self,False
1996,2,,0231IbnZiyadAcrabi,46,0395IbnFarisQazwini.MujmalLugha.606,True
1994,0,,0209AbuCubayda,46,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.266,False
1995,1,,0350MuhammadKindi.WulatMisr,46,0874IbnTaghribirdi.NujumZahira.19,False
1997,3,,0000AnonymousPlural,46,0460ShaykhTusi.Tibyan.197,True
6,6,6.0,0276IbnQutaybaDinawari.GharibHadith,676,self,False
289,289,323.0,0257IbnCabdHakam.FutuhMisr,676,self,False
3283,2,,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.89,False
3286,5,,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.88,True
3281,0,,0151IbnIshaq.Sira,676,0634AbuRabicHimyari.Iktifa.1003,False
3282,1,,0292Yacqubi,676,0900IbnCabdMuncimHimyari.RawdMictar.750,False
3284,3,,0454Qudaci,676,0911Suyuti.HusnMuhadara.89,False
3285,4,,0346Mascudi.TanbihWaIshraf,676,0346Mascudi.TanbihWaIshraf.250,True
3287,6,,0276IbnQutaybaDinawari,676,0911Suyuti.HusnMuhadara.88,True
7,7,7.0,0276IbnQutaybaDinawari.GharibHadith,677,self,False
1304,0,,0231IbnZiyadAcrabi,677,0650IbnMuhammadRadiDinSaghani.CubabZakhir.465,False
1305,1,,0257IbnCabdHakam.FutuhMisr,677,0911Suyuti.HusnMuhadara.89,False
1310,6,,0257IbnCabdHakam.FutuhMisr,677,0911Suyuti.HusnMuhadara.88,True
1306,2,,0454Qudaci,677,0911Suyuti.HusnMuhadara.89,False
1307,3,,0454Qudaci,677,0821Qalqashandi.SubhAcsha.910,True
1308,4,,0685IbnSacidMaghribi,677,0821Qalqashandi.SubhAcsha.910,True
1309,5,,0276IbnQutaybaDinawari,677,0821Qalqashandi.SubhAcsha.910,True
1311,7,,0276IbnQutaybaDinawari,677,0911Suyuti.HusnMuhadara.88,True
8,8,8.0,0276IbnQutaybaDinawari,1907,self,False
3477,0,,0230IbnSacd.TabaqatKubra,1907,0764Safadi.WafiBiWafayat.3008,True
9,9,9.0,0695SarrajDinWaraq,1970,self,False
2780,0,,0695SarrajDinWaraq,1970,0911Suyuti.HusnMuhadara.588,False
10,10,10.0,0151IbnIshaq.Sira,51,self,False
1059,0,,0151IbnIshaq.Sira,51,0213IbnHisham.SiraNabawiyya.3,False
1060,1,,0151IbnIshaq.Sira,51,0257IbnCabdHakam.FutuhMisr.2,False
1062,3,,0151IbnIshaq.Sira,51,0581AbuQasimSuhayli.RawdUnuf.21,False
1064,5,,0151IbnIshaq.Sira,51,0783IbnHadida.MisbahMudi.215,False
1065,6,,0151IbnIshaq.Sira,51,0845Maqrizi.KhabarCanBashar.2593,False
1066,7,,0151IbnIshaq.Sira,51,0213IbnHisham.SiraNabawiyya.2,True
1067,8,,0151IbnIshaq.Sira,51,0257IbnCabdHakam.FutuhMisr.2,True
1069,10,,0151IbnIshaq.Sira,51,0581AbuQasimSuhayli.RawdUnuf.20,True
1070,11,,0151IbnIshaq.Sira,51,0654SibtIbnJawzi.MiratZaman.268,True
1061,2,,0000AnonymousPlural,51,0350MuhammadKindi.FadailMisr.3,False
1068,9,,0000AnonymousPlural,51,0350MuhammadKindi.FadailMisr.2,True
1063,4,,0241IbnHanbal,51,0676Nawawi.MinhajFiSharhMuslim.2282,False
1071,12,,0257IbnCabdHakam.FutuhMisr,51,0808IbnKhaldun.Tarikh.792,True
