,Unnamed: 0,uri,ms,origin,origin_prev_ms
0,0.0,0820IbnMutawwaj,753,self,False
1,1.0,0820IbnMutawwaj,785,self,False
2,2.0,0820IbnMutawwaj,1293,self,False
3,3.0,0820IbnMutawwaj,1394,self,False
4,4.0,0820IbnMutawwaj,1688,self,False
5,5.0,0276IbnQutaybaDinawari.GharibHadith,46,self,False
6,6.0,0276IbnQutaybaDinawari.GharibHadith,676,self,False
7,7.0,0276IbnQutaybaDinawari.GharibHadith,677,self,False
8,8.0,0276IbnQutaybaDinawari,1907,self,False
9,9.0,0695SarrajDinWaraq,1970,self,False
10,10.0,0151IbnIshaq.Sira,51,self,False
11,11.0,0151IbnIshaq.Sira,322,self,False
12,12.0,0151IbnIshaq.Sira,424,self,False
13,13.0,0151IbnIshaq.Sira,429,self,False
14,14.0,0151IbnIshaq.Sira,656,self,False
15,15.0,0151IbnIshaq.Sira,1292,self,False
16,16.0,0151IbnIshaq.Sira,2181,self,False
17,17.0,0529AbuSalt,270,self,False
18,18.0,0588IbnMamun.AkhbarMisr,72,self,False
19,19.0,0588IbnMamun.AkhbarMisr,251,self,False
20,20.0,0588IbnMamun.AkhbarMisr,252,self,False
21,21.0,0588IbnMamun.AkhbarMisr,484,self,False
22,22.0,0588IbnMamun.AkhbarMisr,485,self,False
23,23.0,0588IbnMamun.AkhbarMisr,606,self,False
24,24.0,0588IbnMamun.AkhbarMisr,612,self,False
25,25.0,0588IbnMamun.AkhbarMisr,613,self,False
26,26.0,0588IbnMamun.AkhbarMisr,637,self,False
27,27.0,0588IbnMamun.AkhbarMisr,638,self,False
28,28.0,0588IbnMamun.AkhbarMisr,639,self,False
29,29.0,0588IbnMamun.AkhbarMisr,640,self,False
30,30.0,0588IbnMamun.AkhbarMisr,641,self,False
31,31.0,0588IbnMamun.AkhbarMisr,761,self,False
32,32.0,0588IbnMamun.AkhbarMisr,903,self,False
33,33.0,0588IbnMamun.AkhbarMisr,904,self,False
34,34.0,0588IbnMamun.AkhbarMisr,905,self,False
35,35.0,0588IbnMamun.AkhbarMisr,906,self,False
36,36.0,0588IbnMamun.AkhbarMisr,907,self,False
37,37.0,0588IbnMamun.AkhbarMisr,908,self,False
38,38.0,0588IbnMamun.AkhbarMisr,920,self,False
39,39.0,0588IbnMamun.AkhbarMisr,921,self,False
40,40.0,0588IbnMamun.AkhbarMisr,925,self,False
41,41.0,0588IbnMamun.AkhbarMisr,926,self,False
42,42.0,0588IbnMamun.AkhbarMisr,927,self,False
43,43.0,0588IbnMamun.AkhbarMisr,928,self,False
44,44.0,0588IbnMamun.AkhbarMisr,929,self,False
45,45.0,0588IbnMamun.AkhbarMisr,930,self,False
46,46.0,0588IbnMamun.AkhbarMisr,931,self,False
47,47.0,0588IbnMamun.AkhbarMisr,932,self,False
48,48.0,0588IbnMamun.AkhbarMisr,946,self,False
49,49.0,0588IbnMamun.AkhbarMisr,947,self,False
50,50.0,0588IbnMamun.AkhbarMisr,948,self,False
51,51.0,0588IbnMamun.AkhbarMisr,949,self,False
52,52.0,0588IbnMamun.AkhbarMisr,950,self,False
53,53.0,0588IbnMamun.AkhbarMisr,951,self,False
54,54.0,0588IbnMamun.AkhbarMisr,952,self,False
55,55.0,0588IbnMamun.AkhbarMisr,971,self,False
56,56.0,0588IbnMamun.AkhbarMisr,972,self,False
57,57.0,0588IbnMamun.AkhbarMisr,973,self,False
58,58.0,0588IbnMamun.AkhbarMisr,974,self,False
59,59.0,0588IbnMamun.AkhbarMisr,975,self,False
60,60.0,0588IbnMamun.AkhbarMisr,982,self,False
61,61.0,0588IbnMamun.AkhbarMisr,983,self,False
62,62.0,0588IbnMamun.AkhbarMisr,992,self,False
