,source_uri,ms count
0,0000Abaqrat0000Btulimus,1
1,0000Anonymous,26
2,0000Anonymous.CajabBunyan,5
3,0000Anonymous.CajabHikayat,3
4,0000AnonymousPlural,83
5,0000Aristutulis,9
6,0000Dimquratus,1
7,0000Disquridus,1
8,0000Hirdusus,1
9,0000Hirmus,12
10,0150AbuHanifa,3
11,0151IbnIshaq.Sira,62
12,0180Sibawayhi,22
13,0180Sibawayhi.KitabSibawayhi,2
14,0182AbuYusufYacqub.Athar,1
15,0182AbuYusufYacqub.Kharaj,3
16,0198SufyanIbnCuyayna,5
17,0204IbnKalbi,28
18,0207Waqidi,60
19,0207Waqidi.Maghazi,1
20,0209AbuCubayda,46
21,0209AbuCubayda.Dibaj,2
22,0209AbuCubayda.MajazQuran,2
23,0230IbnSacd.TabaqatKubra,41
24,0231IbnZiyadAcrabi,21
25,0241IbnHanbal,9
26,0255Jahiz.Hayawan,39
27,0257IbnCabdHakam.FutuhMisr,179
28,0262CumarIbnShabba,9
29,0276IbnQutaybaDinawari,26
30,0276IbnQutaybaDinawari.AdabKatib,1
31,0276IbnQutaybaDinawari.GharibHadith,3
32,0279Baladhuri,8
33,0279Baladhuri.AnsabAshraf,3
34,0280IbnTayfur,2
35,0282AbuHanifaDinawari,3
36,0282AbuHanifaDinawari.Nabat,1
37,0292Yacqubi,3
38,0300IbnKhurdadhbih,25
39,0300IbnKhurdadhbih.MasalikWaMamalik,1
40,0310Tabari.Tarikh,12
41,0334AbuMuhammadHamdani.IklilAkhbarYaman,1
42,0337QudamaIbnJacfar,6
43,0346Mascudi,123
44,0346Mascudi.MurujDhahab,73
45,0346Mascudi.TanbihWaIshraf,10
46,0347IbnYunusSadafi.Tarikh,31
47,0350Balawi.SiratAhmadIbnTulun,20
48,0350MuhammadKindi.FadailMisr,20
49,0350MuhammadKindi.WulatMisr,123
50,0367IbnHawqal.SuratArd,5
51,0370CaribQurtubi,1
52,0370CaribQurtubi.SilaTarikhTabari,1
53,0375AnonymousTranslator.TarikhCalamUrusiyus,20
54,0383IbnCabbasKhwarizmi,10
55,0387IbnZulaq,83
56,0388Shabushti.Diyarat,6
57,0420Musabbihi.AkhbarMisr,68
58,0428IbnSina,3
59,0440AbuRayhanBiruni,1
60,0450Anonymous.SiratYazuri,2
61,0453CaliIbnRidwan,15
62,0454Qudaci,113
63,0458Bayhaqi,18
64,0458IbnSidaMursi.MuhkamWaMuhit,26
65,0460Anonymous.DhakhairTuhaf,18
66,0460IbnButlan,1
67,0487AbuCubaydBakri.MucjamMaIstacjama,10
68,0487Bakri,11
69,0528HakamIbnAbiSalt,42
70,0528HakamIbnAbiSalt.Diwan,1
71,0529AbuSalt,5
72,0542IbnMunjibTajRiyasaIbnSayrafi,2
73,0560SharifIdrisi.NuzhatMushtaq,3
74,0576AbuTahirSilafi.MucjamSafar,1
75,0581AbuQasimSuhayli.RawdUnuf,2
76,0588IbnMamun.AkhbarMisr,174
77,0596IbnWasifShah,13
78,0596IbnWasifShah.MukhtasarCajaibDunya,76
79,0596QadiFadil,2
80,0596QadiFadil.Mutajaddidat,35
81,0606IbnMamati.QawaninDawawin,6
82,0614IbnJubayr.Rihla,2
83,0617IbnTuwayr.NuzhatMuqlatayn,107
84,0626YaqutHamawi,11
85,0626YaqutHamawi.Khazal,1
86,0626YaqutHamawi.MucjamBuldan,3
87,0626YaqutHamawi.MucjamUdaba,1
88,0629CabdLatifBaghdadi,1
89,0630IbnAbiTayyi,33
90,0633IbnDihyaJumayyilKalbi,6
91,0633IbnDihyaJumayyilKalbi.NibrasFiTarikh,1
92,0646IbnBaytarAndalusi.JamicLiMufradat,5
93,0665AbuShama.Rawdatayn,1
94,0677IbnMuyassar.AkhbarMisr,41
95,0681IbnKhallikan.WafayatAcyan,29
96,0685IbnSacidMaghribi,31
97,0685IbnSacidMaghribi.Maghrib,6
98,0685IbnSacidMaghribi.Muhalla,2
99,0692IbnCabdZahir.RawdaBahiyya,149
100,0695SarrajDinWaraq,11
101,0697IbnWasil,1
102,0730ShaficIbnCali,5
103,0736IbnDawadari.KanzDurar,1
104,0748Adfuwi,1
105,0748Adfuwi.TalicSacid,1
106,0774IbnKathir,3
107,0807IbnFurat.TarikhDuwal,1
108,0820IbnMutawwaj,39
109,567IbnQalaqis,9
110,Anonymous,24
