,ms,reuser_count,reusers
0,1,2,"['0845Maqrizi.MusawwadatMawaciz', '0930IbnIyas.NuzhatUmam']"
1,2,1,['0845Maqrizi.MusawwadatMawaciz']
2,3,6,"['0845Maqrizi.MusawwadatMawaciz', '0902Sakhawi.DawLamic', '0845Maqrizi.DurarCuqud', '0487AbuCubaydBakri.TanbihCalaAwham', '0487AbuCubaydBakri.SimtLaaliFiSharhAmali', '0356AbuCaliQali.AmaliFiLugha']"
3,4,1,['0845Maqrizi.MusawwadatMawaciz']
4,6,1,['0845Maqrizi.MusawwadatMawaciz']
5,7,1,['0845Maqrizi.MusawwadatMawaciz']
6,9,2,"['0733Nuwayri.NihayatArab', '0845Maqrizi.KhabarCanBashar']"
7,10,1,['0375IkhwanSafa.Rasail']
8,11,1,['0375IkhwanSafa.Rasail']
9,71,7,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600KatibMarrakushi.Istibsar', '0600PseudoMascudi.AkhbarZaman']"
10,73,4,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
11,74,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
12,75,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
13,76,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
14,77,3,"['0733Nuwayri.NihayatArab', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam']"
15,78,6,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0487AbuCubaydBakri.MasalikWaMamalik', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
16,79,5,"['0733Nuwayri.NihayatArab', '0736IbnDawadari.KanzDurar', '0596IbnWasifShah.MukhtasarCajaibDunya', '0930IbnIyas.NuzhatUmam', '0600PseudoMascudi.AkhbarZaman']"
17,80,3,"['0733Nuwayri.NihayatArab', '0487AbuCubaydBakri.MasalikWaMamalik', '0930IbnIyas.NuzhatUmam']"
18,95,0,[]
19,96,0,[]
20,97,0,[]
21,98,0,[]
22,101,0,[]
23,102,0,[]
24,103,0,[]
25,104,0,[]
26,105,0,[]
