parent_cl,par_begin,par_len,level_1,per_of_par,level_2,per_of_l1,level_3,per_of_l2,ms,parent_cl_book,level_1_book,level_2_book,level_3_book
103079549007,698,946,292328,36.26,0,0,0,0,22,['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
103079549007,698,946,103079549010,16.49,0,0,0,0,22,['0845Maqrizi.KhabarCanBashar'],No Data,No Cluster,No Cluster
352187475856,1,896,111669352364,73.33,148118,43.99,0,0,23,No Data,['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster
257698323139,658,991,85899554060,67.51,0,0.0,0,0,23,['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster
68719500279,1,675,68719500281,21.63,0,0.0,0,0,24,['0845Maqrizi.KhabarCanBashar'],No Data,No Cluster,No Cluster
68719500277,147,1586,68719500278,66.65,68719500280,18.54,0,0,24,No Data,['0845Maqrizi.KhabarCanBashar'],['0218HajjajIbnYusufIbnMatar.Majisti'],No Cluster
25770141038,1,806,8590219455,42.56,0,0,0,0,25,['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster
25770141036,70,1744,25770141037,57.74,0,0,0,0,25,No Data,['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
51539761487,1,751,120259229768,50.87,0,0,0,0,26,['0845Maqrizi.KhabarCanBashar'],No Data,No Cluster,No Cluster
206158666850,31,1718,146029262757,54.6,0,0,0,0,26,No Data,['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
17180112770,20,370,0,0,0,0,0,0,27,['0360HamzaIsfahani.TarikhSini'],No Cluster,No Cluster,No Cluster
300647798495,227,224,0,0,0,0,0,0,28,['0375AnonymousTranslator.TarikhCalamUrusiyus'],No Cluster,No Cluster,No Cluster
34359893552,1069,489,214748457279,34.36,0,0,0,0,29,['0646IbnQifti.IkhbarCulama'],No Data,No Cluster,No Cluster
34360043261,1,925,25769881115,39.78,0,0,0,0,30,No Data,['0322IbnTabataba.MuntaqilatTalibiyya'],No Cluster,No Cluster
137438991042,1,621,266288329988,53.95,0,0,0,0,31,['0626YaqutHamawi.MucjamBuldan'],['0739SafiDinHanbali.Marasid'],No Cluster,No Cluster
