,uri,meta
0,0845Maqrizi.Mawaciz,"al-Maqrizi, Khitat"
1,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,"Ibn al-Sayrafi, Ishara"
2,0660IbnCadim.BughyatTalab,"Ibn al-'Adim, Bughyat al-Talab"
3,0845Maqrizi.Muqaffa,"al-Maqrizi, Muqaffa"
