word_5,word_4,word_3,word_2,word_1,book_1,book_2,book_3,book_4,book_5,row_id,cit,book_no,uri_other,word_start,word_end,extend,new_uri
احد,استوهب,لو,وهكذا,الماوردي,0224QasimIbnSallam.Amwal,0852IbnHajarCasqalani.JawabJalil,,,,310,,,,,,,
احد,استوهب,لو,وهكذا,الماوردي,0450AbuHasanMawardi.AhkamSultaniyya,0450AbuHasanMawardi.HawiKabir',,,,312,,,,,,,
احد,استوهب,لو,وهكذا,الماوردي,0450AbuHasanMawardi.AhkamSultaniyya,,,,,311,,,,,,,
احد,السفيه,لهذا,اما,خالد,0310Tabari.Tarikh,0630IbnAthirCizzDin.Kamil,,,,1634.1635,,,,,,,
احد,ان,اعلم,الداعي,له,0733Nuwayri.NihayatArab,0845Maqrizi.MusawwadatMawaciz,,,,919,,,,,,,
احدا,به,استقبل,كنت,فما,0204IbnKalbi.NasabMacad,,,,,527,,,,,,,
احدكم,ديه,ارايت,الشماس,له,0257IbnCabdHakam.FutuhMisr,0736IbnDawadari.KanzDurar,,,,465,,,,,,,
احدكم,ديه,ارايت,الشماس,له,0257IbnCabdHakam.FutuhMisr,,,,,466.467,,,,,,,
احدنا,علي,ما,اخبرنا,له,0224QasimIbnSallam.Amwal,0257IbnCabdHakam.FutuhMisr,,,,259,,,,,,,
احدنا,علي,ما,اخبرنا,له,0257IbnCabdHakam.FutuhMisr,,,,,260.261,,,,,,,
احسن,فقلت,اصبت,الخادم,لي,0350Balawi.SiratAhmadIbnTulun,,,,,1677,,,,,,,
احمد,بن,محمد,الريحان,ابو,0440AbuRayhanBiruni.AtharBaqiya,0930IbnIyas.NuzhatUmam,,,,700,,,,,,,
احمد,بن,محمد,الريحان,ابو,0845Maqrizi.KhabarCanBashar,0930IbnIyas.NuzhatUmam,,,,46.47,,,,,,,
احمد,سيدي,الا,اريد,لا,0764Safadi.AcyanCasr,0764Safadi.WafiBiWafayat,0764Safadi.WafiBiWafayat',,,1191.1192,,,,,,,
احمد,سيدي,الا,اريد,لا,0764Safadi.AcyanCasr,0874IbnTaghribirdi.ManhalSafi,,,,1189,,,,,,,
احمد,سيدي,الا,اريد,لا,0764Safadi.WafiBiWafayat,0874IbnTaghribirdi.NujumZahira,,,,1190,,,,,,,
احمد,وركب,الطولونيه,السيره,جامع,0350Balawi.SiratAhmadIbnTulun,,,,,1256,,,,,,,
اخبار,بنيانها,في,وله,هروشيوش,0375AnonymousTranslator.TarikhCalamUrusiyus,0845Maqrizi.KhabarCanBashar,,,,440.441,,,,,,,
اخبار,في,شاه,وصيف,ابن,0487AbuCubaydBakri.MasalikWaMamalik,,,,,846,,,,,,,
اخبار,في,طي,ابي,ابن,0845Maqrizi.MusawwadatMawaciz,,,,,1093,,,,,,,
اخته,انك,ذكر,قد,فانه,0736IbnDawadari.KanzDurar,0845Maqrizi.KhabarCanBashar,,,,1275,,,,,,,
اخذ,الناس,تلزموا,لا,لهم,0588IbnMamun.AkhbarMisr,0845Maqrizi.MusawwadatMawaciz,,,,1010.1011,,,,,,,
اخذ,الناس,تلزموا,لا,لهم,0845Maqrizi.ItticazHunafa,0845Maqrizi.MusawwadatMawaciz,,,,1009,,,,,,,
اخذ,الناس,تلزموا,لا,لهم,0845Maqrizi.MusawwadatMawaciz,,,,,1008,,,,,,,
اخذتها,وان,ابي,قتلت,هذه,0350Balawi.SiratAhmadIbnTulun,,,,,1256,,,,,,,
اخر,قرب,اذا,الطوير,ابن,0588IbnMamun.AkhbarMisr,0845Maqrizi.MusawwadatMawaciz,,,,1084,,,,,,,
اخر,قرب,اذا,الطوير,ابن,0588IbnMamun.AkhbarMisr,,,,,1085,,,,,,,
اخر,وقال,صغير,محرابه,رجل,0692IbnCabdZahir.RawdaBahiyya,,,,,1442,,,,,,,
اخرج,النيل,فضال,من,ش,0346Mascudi.MurujDhahab,0930IbnIyas.NuzhatUmam,,,,170.171,,,,,,,
اخرج,عنك,بلغني,ش,ما,0200SayfIbnCumar.Fitna,0654SibtIbnJawzi.MiratZaman,,,,1517,,,,,,,
اخرج,عنك,بلغني,ش,ما,0200SayfIbnCumar.Fitna,,,,,1516,,,,,,,
اخرون,وقال,صحبه,له,قوم,0257IbnCabdHakam.FutuhMisr,0874IbnTaghribirdi.NujumZahira,,,,777.778.779,,,,,,,
اخرون,وقال,صلحا,فتحت,قوم,0251IbnZanjawayh.Amwal,0257IbnCabdHakam.FutuhMisr,,,,769,,,,,,,
اخرون,وقال,صلحا,فتحت,قوم,0257IbnCabdHakam.FutuhMisr,,,,,767.768,,,,,,,
اخضر,الزرع,ان,علي,يا,0930IbnIyas.NuzhatUmam,,,,,698,,,,,,,
اخو,سبا,بن,عميكرب,الهيثم,0213IbnHisham.Tijan,0845Maqrizi.KhabarCanBashar,,,,447,,,,,,,
اخو,سبا,بن,عميكرب,الهيثم,0573NashwanHimyari.KhulasatSiyar,0845Maqrizi.KhabarCanBashar,,,,446.448,,,,,,,
اخوه,بعض,عن,حكايه,تعالي,0347IbnYunusSadafi.Tarikh,0733Nuwayri.NihayatArab,0874IbnTaghribirdi.NujumZahira,0930IbnIyas.NuzhatUmam,,70,,,,,,,
اخوه,بعض,عن,حكايه,تعالي,0748Dhahabi.SiyarAclamNubala,0930IbnIyas.NuzhatUmam,,,,69,,,,,,,
اخوه,وقام,شاه,وصيف,ابن,0487AbuCubaydBakri.MasalikWaMamalik,0733Nuwayri.NihayatArab,,,,405,,,,,,,
ادرك,ما,الامير,ايها,والله,0350MuhammadKindi.FadailMisr,0930IbnIyas.NuzhatUmam,,,,478,,,,,,,
ادرك,ما,الامير,ايها,والله,0350MuhammadKindi.FadailMisr,,,,,479,,,,,,,
ادركت,الحميري,سلف,سعيد,ابو,0257IbnCabdHakam.FutuhMisr,0821Qalqashandi.SubhAcsha,,,,1415,,,,,,,
ادركك,ان,اليه,فكتب,عثمان,0257IbnCabdHakam.FutuhMisr,0634AbuRabicHimyari.Iktifa,,,,730.733,,,,,,,
ادركك,ان,اليه,فكتب,عثمان,0257IbnCabdHakam.FutuhMisr,0733Nuwayri.NihayatArab,,,,732,,,,,,,
ادركك,ان,اليه,فكتب,عثمان,0257IbnCabdHakam.FutuhMisr,,,,,731,,,,,,,
ادم,من,المده,كانت,قوم,0600PseudoMascudi.AkhbarZaman,0845Maqrizi.KhabarCanBashar,,,,666,,,,,,,
اذ,اجبتك,قد,جدي,يا,0257IbnCabdHakam.FutuhMisr,,,,,59.60,,,,,,,
اذ,ايله,قصه,في,نعم,0204Shafici.AhkamQuran,0204Shafici.TafsirShafici',0541IbnCatiyyaAndalusi.MuharrarWajiz,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,,530,,,,,,,
اذ,ايله,قصه,في,نعم,0204Shafici.AhkamQuran,0204Shafici.TafsirShafici',0845Maqrizi.KhabarCanBashar,,,529,,,,,,,
اذا,القبطي,فكان,عبيدكم,هم,0487AbuCubaydBakri.MasalikWaMamalik,0845Maqrizi.KhabarCanBashar,,,,1685,,,,,,,
اذا,القبطي,فكان,عبيدكم,هم,0596IbnWasifShah.MukhtasarCajaibDunya,0845Maqrizi.KhabarCanBashar,,,,1686,,,,,,,
اذا,الممنين,امير,يا,نعم,0257IbnCabdHakam.FutuhMisr,0346Mascudi.TanbihWaIshraf,,,,781,,,,,,,
اذا,الممنين,امير,يا,نعم,0257IbnCabdHakam.FutuhMisr,0487AbuCubaydBakri.MasalikWaMamalik,,,,782,,,,,,,
اذا,الممنين,امير,يا,نعم,0257IbnCabdHakam.FutuhMisr,,,,,503.504.780,,,,,,,
اذا,بالفسطاط,يجتمعون,الناس,كان,0257IbnCabdHakam.FutuhMisr,0911Suyuti.JamicKabir,,,,1431,,,,,,,
اذا,بالفسطاط,يجتمعون,الناس,كان,0257IbnCabdHakam.FutuhMisr,,,,,1432,,,,,,,
اذا,زيهم,وصار,الشرابشيين,سوق,0749IbnFadlAllahCumari.MasalikAbsar,,,,,1385,,,,,,,
اذا,للناس,يقول,عمرو,كان,0257IbnCabdHakam.FutuhMisr,0911Suyuti.JamicKabir,,,,1431,,,,,,,
اذا,للناس,يقول,عمرو,كان,0257IbnCabdHakam.FutuhMisr,,,,,1432,,,,,,,
اذا,نفسي,في,كان,له,0911Suyuti.HusnMuhadara,,,,,1340,,,,,,,
اذا,وتصوف,الصوف,من,انه,0465IbnHawazinQushayri.RisalaQushayriyya,,,,,1606,,,,,,,
اذعنوا,قال,ما,المقوقس,لهم,0257IbnCabdHakam.FutuhMisr,0634AbuRabicHimyari.Iktifa,,,,750,,,,,,,
اذعنوا,قال,ما,المقوقس,لهم,0257IbnCabdHakam.FutuhMisr,,,,,751.752,,,,,,,
اذكروا,للشعب,السلام,عليه,موسي,0440AbuRayhanBiruni.AtharBaqiya,0845Maqrizi.KhabarCanBashar,,,,1695,,,,,,,
اذن,بلالا,ان,سعد,ابن,0230IbnSacd.TabaqatKubra,0238IbnRahawayh.Musnad,,,,1444,,,,,,,
اذن,بلالا,ان,سعد,ابن,0230IbnSacd.TabaqatKubra,,,,,1445,,,,,,,
ارابط,كنت,عثمان,بن,يحيي,0350MuhammadKindi.FadailMisr,0930IbnIyas.NuzhatUmam,,,,576,,,,,,,
ارابط,كنت,عثمان,بن,يحيي,0350MuhammadKindi.FadailMisr,,,,,575,,,,,,,
ارابط,كنت,عثمان,بن,يحيي,0588IbnMamun.AkhbarMisr,0845Maqrizi.ItticazHunafa,,,,574,,,,,,,
اراد,صرفها,من,وغيره,مجاهد,0429AbuMansurThacalibi.Jawahir,0873AbuZaydThacalibi.JawahirHisan,,,,65,,,,,,,
اراد,صرفها,من,وغيره,مجاهد,0460ShaykhTusi.Tibyan,0733Nuwayri.NihayatArab,,,,64,,,,,,,
اراك,بان,لي,كيف,لها,0600PseudoMascudi.AkhbarZaman,0733Nuwayri.NihayatArab,,,,391,,,,,,,
اراك,بان,لي,كيف,لها,0600PseudoMascudi.AkhbarZaman,0930IbnIyas.NuzhatUmam,,,,390,,,,,,,
اربابها,باسما,والهبات,الكسوات,تفصيل,0588IbnMamun.AkhbarMisr,,,,,1121,,,,,,,
اربع,الجامع,للمسجد,مسلمه,وجعل,0347IbnYunusSadafi.Tarikh,,,,,1416,,,,,,,
اربعه,الارض,بابك,بن,ازدشير,0375IkhwanSafa.Rasail,0845Maqrizi.KhabarCanBashar,,,,24,,,,,,,
اربعه,الارض,بابك,بن,ازدشير,0733Nuwayri.NihayatArab,0845Maqrizi.KhabarCanBashar,0930IbnIyas.NuzhatUmam,,,26,,,,,,,
اربعه,الارض,بابك,بن,ازدشير,0733Nuwayri.NihayatArab,0845Maqrizi.KhabarCanBashar,,,,25,,,,,,,
اربعه,السلام,عليه,لنوح,كان,0257IbnCabdHakam.FutuhMisr,,,,,59.60,,,,,,,
اربعه,واذا,المنتهي,سدره,هذه,0346Mascudi.MurujDhahab,0930IbnIyas.NuzhatUmam,,,,170.171,,,,,,,
